symbol,base,category,semantic_first_authority_ts,semantic_last_authority_ts,observed_official_snapshots,first_rank_day,last_rank_day,ranked_days,top_100_eligible_days,minimum_rank,maximum_rank,maximum_valid_prior_days,cohort_version,cohort_hash,survivorship_free_claim,continuous_tradeability_claim,exact_quote_volume_claim
PF_SPXUSD,SPX,Meme,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,307,26,97,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SSVUSD,SSV,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,138,234,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_STEEMUSD,STEEM,Community,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,108,253,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_STGUSD,STG,DeFi,2023-12-10 00:16:14+00:00,2026-07-17 00:00:00+00:00,8,2023-12-30 00:00:00+00:00,2025-12-31 00:00:00+00:00,733,242,80,232,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_STORJUSD,STORJ,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,716,12,202,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_STRKUSD,STRK,Layer 2,2024-04-17 12:34:20+00:00,2026-07-17 00:00:00+00:00,7,2024-05-07 00:00:00+00:00,2025-12-31 00:00:00+00:00,604,530,25,120,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_STXUSD,STX,DeFi,2023-12-10 00:16:14+00:00,2026-07-17 00:00:00+00:00,8,2023-12-30 00:00:00+00:00,2025-12-31 00:00:00+00:00,733,733,17,87,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SUIUSD,SUI,Layer 1,2023-12-10 00:16:14+00:00,2026-07-17 00:00:00+00:00,8,2023-12-30 00:00:00+00:00,2025-12-31 00:00:00+00:00,733,733,3,34,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SUNUSD,SUN,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,131,251,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SUPERUSD,SUPER,DeFi,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,101,179,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SUSD,S,Layer 1,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,212,48,124,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SUSHIUSD,SUSHI,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,14,93,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SWARMSUSD,SWARMS,AI,2025-02-08 03:03:05+00:00,2026-07-17 00:00:00+00:00,5,2025-02-28 00:00:00+00:00,2025-12-31 00:00:00+00:00,307,0,111,238,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SXTUSD,SXT,Interoperability,2025-06-17 05:47:15+00:00,2026-07-17 00:00:00+00:00,3,2025-07-07 00:00:00+00:00,2025-12-31 00:00:00+00:00,178,0,168,247,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SYNUSD,SYN,Layer 2,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,0,103,201,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_SYRUPUSD,SYRUP,DeFi,2025-06-17 05:47:15+00:00,2026-07-17 00:00:00+00:00,3,2025-07-07 00:00:00+00:00,2025-12-31 00:00:00+00:00,178,0,109,250,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_TAOUSD,TAO,AI,2024-12-07 02:16:51+00:00,2026-07-17 00:00:00+00:00,6,2024-12-27 00:00:00+00:00,2025-12-31 00:00:00+00:00,370,370,7,41,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
PF_THETAUSD,THETA,DeFi,2023-02-23 08:48:16+00:00,2026-07-17 00:00:00+00:00,9,2023-03-15 00:00:00+00:00,2025-12-31 00:00:00+00:00,1023,1023,31,94,30,c01_mechanism_proof_top100_close_based_proxy_v1_20260717,768b09c731a728e31ce1d882862878c698cbf19e6883b1d0fe02505edb619f15,False,False,False
