scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.44,1476,0.5453929539295393,1.28845874087982,1901.7651015386143,0.6016260162601627,0.3143631436314363,1.3921922620631952,14.0,17.0
ALL,0.46,1321,0.5579106737320212,1.3465521047291245,1778.7953303471734,0.615442846328539,0.31794095382286147,1.4792431186159858,13.0,18.0
ALL,0.48,1177,0.5768903993203058,1.4279324504851345,1680.6764942210034,0.6304163126593033,0.3143585386576041,1.5858598776134418,12.0,19.0
ALL,0.5,1040,0.5903846153846154,1.5016443503684536,1561.7101243831917,0.6471153846153846,0.3192307692307692,1.7045129496741669,11.0,21.0
ALL,0.52,923,0.6056338028169014,1.5719648204201007,1450.9235292477529,0.6663055254604551,0.3282773564463705,1.8179541438059235,10.0,22.0
ALL,0.54,808,0.6225247524752475,1.6454740001566317,1329.5429921265584,0.6881188118811881,0.34034653465346537,1.935554873170572,9.0,23.0
ALL,0.56,709,0.6375176304654443,1.712782304066919,1214.3626535834455,0.7009873060648801,0.3385049365303244,2.0415200472261272,8.0,24.0
ALL,0.58,623,0.6581059390048154,1.8286788292682106,1139.2669106340952,0.723916532905297,0.33868378812199035,2.2109867397998326,7.0,25.0
ALL,0.6,536,0.6847014925373134,1.941750117901385,1040.7780631951423,0.75,0.35074626865671643,2.390683428493828,6.0,27.0
ALL,0.62,468,0.6837606837606838,1.9481613152926358,911.7394955569536,0.7435897435897436,0.344017094017094,2.3911076052999802,5.0,28.0
ALL,0.64,407,0.6953316953316954,2.001908480032772,814.7767513733382,0.7542997542997543,0.3415233415233415,2.459852598291448,4.0,29.0
ALL,0.66,339,0.7020648967551623,2.0497327152221523,694.8593904603096,0.7669616519174042,0.35103244837758113,2.5614641574746386,3.0,30.0
ALL,0.68,286,0.7027972027972028,2.0744871428080636,593.3033228431062,0.7692307692307693,0.34615384615384615,2.579860398050382,2.0,31.0
