model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
lgbm,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S5_btcRisk_x_regimeUp,4,374.0,0.22727272727272727,0.7341746387136169,0.48080328598156596,0.5617759651891125,0.16312906377874767,0.7807486631016043,0.5428571428571428,0.2235294117647059,-0.06900248893448728,37.0,1.3402019423950458,0.5945945945945946,0.24324324324324326
lgbm,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,6,436.0,0.24770642201834864,0.7552506775067751,0.49270223870848595,0.5394796402275157,0.16658792963908092,0.7614678899082569,0.5285714285714286,0.3425925925925926,-0.02108266256908346,43.0,1.5991636492270143,0.6511627906976745,0.3023255813953488
lgbm,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,8,315.0,0.23174603174603176,0.750650967961055,0.5158056570723872,0.5490205627957947,0.15986516632997327,0.8,0.625,0.3424657534246575,-0.06403008087094386,31.0,1.8230025866155652,0.7741935483870968,0.3870967741935484
lgbm,0,y_good_05,6776,1359,2023-01-22 00:00:00+00:00,2023-11-07 14:40:00+00:00,S6_fresh_x_compress,7,440.0,0.24772727272727274,0.765847168713102,0.5719746413898837,0.5388879871366415,0.15754093131179672,0.7863636363636364,0.6229508196721312,0.3486238532110092,-0.03606608606815207,44.0,1.7487522425700965,0.6818181818181818,0.25
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,SCOPE,RISK_ON_1,618.0,0.3478964401294498,0.7641872006463153,0.6181593808390166,0.6114343575072615,0.1997187544337416,0.6990291262135923,0.6058394160583942,0.386046511627907,0.49588529312445373,61.0,2.2340572883301606,0.7213114754098361,0.19672131147540983
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S1_regime_code_1d,3,1053.0,0.2668566001899335,0.7766950011985323,0.5523031802363009,0.5385840326291449,0.17013056785825972,0.7635327635327636,0.6081081081081081,0.3202846975088968,0.12074707892088488,105.0,2.0310510445727314,0.6761904761904762,0.19047619047619047
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S1_regime_code_1d,2,305.0,0.3377049180327869,0.7416129962510813,0.5831396998246496,0.6896742013253224,0.21113876525105488,0.7049180327868853,0.6382978723404256,0.2912621359223301,0.4776148544068518,30.0,2.0966767932085704,0.7333333333333333,0.23333333333333334
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S2_markov_x_vol1d,0,968.0,0.2665289256198347,0.7741620264220985,0.544722225871854,0.5439458257751673,0.1715615739235136,0.7634297520661157,0.6058394160583942,0.32170542635658916,0.1318114084485144,96.0,2.0508715488065428,0.6666666666666666,0.15625
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S2_markov_x_vol1d,1,233.0,0.30042918454935624,0.7503943908851884,0.5744135815131627,0.6394635732001949,0.19113457091920397,0.7424892703862661,0.6666666666666666,0.2857142857142857,0.3379851559315334,23.0,2.190251805999626,0.6956521739130435,0.08695652173913043
lgbm,1,y_good_05,6751,1358,2023-11-07 17:45:00+00:00,2024-03-03 10:05:00+00:00,S3_funding_x_oi,7,436.0,0.30045871559633025,0.7681892128644725,0.5989047327539204,0.5837781135072581,0.18270628596436875,0.75,0.6527777777777778,0.35877862595419846,0.29055993477541553,43.0,2.499470699621433,0.7906976744186046,0.18604651162790697
