family_id,symbol,event_count,event_share,rank
KDA01,PF_DOGUSD,4253,0.0016115250756408872,138
KDA01,PF_BERAUSD,3901,0.001478147030349189,139
KDA01,PF_MORPHOUSD,3760,0.0014247200292522304,140
KDA01,PF_IPUSD,3352,0.0012701227494823074,141
KDA01,PF_ZENUSD,2994,0.0011344712147822282,142
KDA01,PF_LSKUSD,2862,0.0010844544477978412,143
KDA01,PF_CROUSD,2853,0.0010810442136852695,144
KDA01,PF_ZROUSD,2663,0.0010090503824198643,145
KDA01,PF_PUMPUSD,2390,0.0009056066143385187,146
KDA01,PF_BOMEUSD,2302,0.0008722621030155943,147
KDA01,PF_KAITOUSD,2282,0.0008646838049876568,148
KDA01,PF_CAKEUSD,2250,0.000852558528142957,149
KDA01,PF_VINEUSD,2072,0.0007851116756943142,150
KDA01,PF_NMRUSD,2069,0.0007839749309901235,151
KDA01,PF_NOTUSD,1998,0.0007570719729909458,152
KDA01,PF_MOVEUSD,1925,0.0007294111851889743,153
KDA01,PF_MOGUSD,1595,0.0006043692677280073,154
KDA01,PF_RLCUSD,1556,0.0005895915865735294,155
KDA01,PF_ARCUSD,1540,0.0005835289481511795,156
KDA01,PF_BIGTIMEUSD,1253,0.0004747803714502778,157
KDA01,PF_DEEPUSD,1061,0.00040202871038207887,158
KDA01,PF_STGUSD,1049,0.0003974817315653164,159
KDA01,PF_AUCTIONUSD,992,0.0003758835821856948,160
KDA01,PF_DEGENUSD,989,0.0003747468374815042,161
KDA01,PF_ZEREBROUSD,971,0.00036792636925636054,162
KDA01,PF_TRBUSD,832,0.0003152571979621957,163
KDA01,PF_PEOPLEUSD,828,0.0003137415383566082,164
KDA01,PF_RSRUSD,783,0.000296690367793749,165
KDA01,PF_BIOUSD,611,0.00023151700475348744,166
KDA01,PF_MNTUSD,515,0.00019514117421938793,167
KDA01,PF_KAIAUSD,514,0.00019476225931799106,168
KDA01,PF_ATHUSD,512,0.00019400442951519734,169
KDA01,PF_CHILLGUYUSD,508,0.00019248876990960985,170
KDA01,PF_CTSIUSD,406,0.00015383944996712914,171
KDA01,PF_COWUSD,368,0.00013944068371404808,172
KDA01,PF_SKLUSD,261,9.889678926458301e-05,173
