definition_id,family_id,state,symbol,feasible_row_count
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CHILLGUYUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CHILLGUYUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CHILLGUYUSD,11
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CHZUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CHZUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CHZUSD,39
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_COMPUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_COMPUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_COMPUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_COOKIEUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_COOKIEUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_COOKIEUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_COTIUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_COTIUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_COTIUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_COWUSD,1013
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_COWUSD,1921
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_COWUSD,20
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CROUSD,421
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CROUSD,374
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CROUSD,25
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CRVUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CRVUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CRVUSD,1816
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CTSIUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CTSIUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CTSIUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_CVXUSD,15967
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_CVXUSD,27438
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_CVXUSD,21
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DASHUSD,2205
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DASHUSD,2409
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DASHUSD,391
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DEEPUSD,2058
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DEEPUSD,6138
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DEEPUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_DEGENUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_DEGENUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_DEGENUSD,0
