year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2024,PF_CFXUSD,105408,105408,105408,105408,104544,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CFXUSD,104833,104833,104833,104833,16128,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_CHILLGUYUSD,100600,100600,100600,100600,12960,2025-01-15 16:45:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_CHZUSD,86220,86220,86220,86220,84096,2023-03-07 15:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_CHZUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CHZUSD,104833,104833,104833,104833,36001,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_COMPUSD,86220,86220,86220,86220,84096,2023-03-07 15:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_COMPUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_COMPUSD,104833,104833,104833,104833,63073,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_COOKIEUSD,94789,94789,94789,94789,4896,2025-02-04 21:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_COTIUSD,70635,70635,70635,70635,0,2024-04-30 17:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_COTIUSD,104833,104833,104833,104833,576,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_COWUSD,10161,10161,10161,10161,1440,2024-11-26 17:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_COWUSD,104833,104833,104833,104833,5472,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_CROUSD,3237,3237,3237,3237,0,2024-12-20 18:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CROUSD,104833,104833,104833,104833,31392,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_CRVUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_CRVUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CRVUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_CTSIUSD,62330,62330,62330,62330,0,2024-05-29 13:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CTSIUSD,104833,104833,104833,104833,4032,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_CVXUSD,79589,79589,79589,79589,576,2023-03-30 15:35:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_CVXUSD,105408,105408,105408,105408,100800,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CVXUSD,104833,104833,104833,104833,41184,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_DASHUSD,86256,86256,86256,86256,84096,2023-03-07 12:00:00+00:00,2023-12-31 23:55:00+00:00
