year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2025,PF_JUPUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_KAIAUSD,13588,13588,13588,13588,0,2024-11-14 19:40:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_KAIAUSD,104833,104833,104833,104833,6048,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_KAITOUSD,84751,84751,84751,84751,36000,2025-03-11 17:30:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_KASUSD,102346,102346,102346,102346,68832,2024-01-11 15:10:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_KASUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_KAVAUSD,86233,86233,86233,86233,84096,2023-03-07 13:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_KAVAUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_KAVAUSD,104833,104833,104833,104833,38881,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_KSMUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_KSMUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_KSMUSD,104833,104833,104833,104833,67969,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LDOUSD,85950,85950,85950,85950,576,2023-03-08 13:30:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LDOUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LDOUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LINKUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LINKUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LINKUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LPTUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LPTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LPTUSD,104833,104833,104833,104833,88993,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LRCUSD,86248,86248,86248,86248,84096,2023-03-07 12:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LRCUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LRCUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_LSKUSD,96594,96594,96594,96594,61056,2024-01-31 14:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LSKUSD,104833,104833,104833,104833,5760,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LTCUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LTCUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LTCUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_LUNA2USD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_LUNA2USD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_LUNA2USD,104833,104833,104833,104833,7200,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_MANAUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_MANAUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MANAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_MELANIAUSD,99214,99214,99214,99214,78912,2025-01-20 12:15:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MEWUSD,56549,56549,56549,56549,1440,2024-06-18 15:35:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MEWUSD,104833,104833,104833,104833,84097,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_MINAUSD,86232,86232,86232,86232,84096,2023-03-07 14:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_MINAUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MINAUSD,104833,104833,104833,104833,6624,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MNTUSD,48805,48805,48805,48805,0,2024-07-15 12:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MNTUSD,104833,104833,104833,104833,14112,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MOGUSD,39575,39575,39575,39575,1440,2024-08-16 14:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MOGUSD,104833,104833,104833,104833,27648,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MOODENGUSD,17639,17639,17639,17639,1440,2024-10-31 18:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MOODENGUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MORPHOUSD,10167,10167,10167,10167,1440,2024-11-26 16:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MORPHOUSD,104833,104833,104833,104833,42048,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MOVEUSD,3228,3228,3228,3228,0,2024-12-20 19:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MOVEUSD,104833,104833,104833,104833,35712,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_MOVRUSD,66290,66290,66290,66290,0,2024-05-15 19:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_MOVRUSD,104833,104833,104833,104833,1440,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_NEARUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_NEARUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_NEARUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_NEIROUSD,24015,24015,24015,24015,1440,2024-10-09 14:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_NEIROUSD,104833,104833,104833,104833,98209,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_NEOUSD,72354,72354,72354,72354,0,2024-04-24 18:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_NEOUSD,104833,104833,104833,104833,576,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_NMRUSD,51906,51906,51906,51906,0,2024-07-04 18:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_NMRUSD,104833,104833,104833,104833,23328,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_NOTUSD,50497,50497,50497,50497,1440,2024-07-09 15:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_NOTUSD,104833,104833,104833,104833,28512,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_OGNUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_OGNUSD,105408,105408,105408,105408,72864,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_OGNUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ONDOUSD,76116,76116,76116,76116,68832,2024-04-11 17:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ONDOUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_OPUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_OPUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_OPUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ORDIUSD,98623,98623,98623,98623,68832,2024-01-24 13:25:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ORDIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_PENDLEUSD,62331,62331,62331,62331,0,2024-05-29 13:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PENDLEUSD,104833,104833,104833,104833,96193,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_PENGUUSD,3249,3249,3249,3249,0,2024-12-20 17:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PENGUUSD,104833,104833,104833,104833,88129,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_PEOPLEUSD,58576,58576,58576,58576,0,2024-06-11 14:40:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PEOPLEUSD,104833,104833,104833,104833,9216,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_PEPEUSD,63501,63501,63501,63501,576,2023-05-25 12:15:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_PEPEUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PEPEUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_PNUTUSD,10173,10173,10173,10173,1440,2024-11-26 16:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PNUTUSD,104833,104833,104833,104833,98497,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_POLUSD,29506,29506,29506,29506,1440,2024-09-20 13:10:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_POLUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_POPCATUSD,56529,56529,56529,56529,1440,2024-06-18 17:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_POPCATUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_PUMPUSD,48734,48734,48734,48734,33985,2025-07-14 18:55:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_PYTHUSD,9277,9277,9277,9277,576,2023-11-29 18:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_PYTHUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_PYTHUSD,104833,104833,104833,104833,81505,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_QNTUSD,86250,86250,86250,86250,84096,2023-03-07 12:30:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_QNTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_QNTUSD,104833,104833,104833,104833,40897,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_QTUMUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_QTUMUSD,105408,105408,105408,105408,102816,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_QTUMUSD,104833,104833,104833,104833,7488,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_RAYUSD,19623,19623,19623,19623,1440,2024-10-24 20:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_RAYUSD,104833,104833,104833,104833,85248,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_RENDERUSD,44447,44447,44447,44447,1440,2024-07-30 16:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_RENDERUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_RLCUSD,75768,75768,75768,75768,576,2023-04-12 22:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_RLCUSD,105408,105408,105408,105408,57312,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_RLCUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_RSRUSD,28021,28021,28021,28021,1440,2024-09-25 16:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_RSRUSD,104833,104833,104833,104833,19296,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_RUNEUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_RUNEUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_RUNEUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_SAGAUSD,75450,75450,75450,75450,67392,2024-04-14 00:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SAGAUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_SEIUSD,84514,84514,84514,84514,68832,2024-03-13 13:10:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SEIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_SHIBUSD,61863,61863,61863,61863,576,2023-05-31 04:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_SHIBUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SHIBUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_SKLUSD,96827,96827,96827,96827,6336,2025-01-28 19:10:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_SNXUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_SNXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SNXUSD,104833,104833,104833,104833,57025,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_SOLUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_SOLUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SOLUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_SPELLUSD,88799,88799,88799,88799,62784,2024-02-27 16:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SPELLUSD,104833,104833,104833,104833,8928,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_SPKUSD,52989,52989,52989,52989,4320,2025-06-30 00:20:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_SPXUSD,3246,3246,3246,3246,0,2024-12-20 17:30:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SPXUSD,104833,104833,104833,104833,88129,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_STGUSD,45580,45580,45580,45580,576,2023-07-26 17:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_STGUSD,105408,105408,105408,105408,69120,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_STGUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_STORJUSD,86259,86259,86259,86259,84096,2023-03-07 11:45:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_STORJUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_STORJUSD,104833,104833,104833,104833,16704,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_STRKUSD,90569,90569,90569,90569,68832,2024-02-21 12:35:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_STRKUSD,104833,104833,104833,104833,83521,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_STXUSD,79583,79583,79583,79583,576,2023-03-30 16:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_STXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_STXUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_SUIUSD,69824,69824,69824,69824,576,2023-05-03 13:20:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_SUIUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SUIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_SUSD,99755,99755,99755,99755,61056,2025-01-18 15:10:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_SUSHIUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_SUSHIUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_SUSHIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_TAOUSD,53672,53672,53672,53672,1440,2024-06-28 15:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TAOUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_THETAUSD,86232,86232,86232,86232,84096,2023-03-07 14:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_THETAUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_THETAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_TIAUSD,9277,9277,9277,9277,576,2023-11-29 18:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_TIAUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TIAUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_TRBUSD,55724,55724,55724,55724,0,2024-06-21 12:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TRBUSD,104833,104833,104833,104833,14400,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_TRUMPUSD,99762,99762,99762,99762,88129,2025-01-18 14:35:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_TRUUSD,74208,74208,74208,74208,66816,2024-04-18 08:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TRUUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_TRXUSD,86237,86237,86237,86237,84096,2023-03-07 13:35:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_TRXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TRXUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_TURBOUSD,60314,60314,60314,60314,1440,2024-06-05 13:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_TURBOUSD,104833,104833,104833,104833,102817,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_UMAUSD,98079,98079,98079,98079,65952,2024-01-26 10:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_UMAUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_UNIUSD,86258,86258,86258,86258,84096,2023-03-07 11:50:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_UNIUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_UNIUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_USUALUSD,100638,100638,100638,100638,4032,2025-01-15 13:35:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_VETUSD,15607,15607,15607,15607,0,2024-11-07 19:25:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_VETUSD,104833,104833,104833,104833,62496,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_VINEUSD,97966,97966,97966,97966,23904,2025-01-24 20:15:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_VIRTUALUSD,99117,99117,99117,99117,75745,2025-01-20 20:20:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_WIFUSD,99191,99191,99191,99191,68832,2024-01-22 14:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_WIFUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_WLDUSD,43603,43603,43603,43603,576,2023-08-02 14:25:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_WLDUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_WLDUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_WOOUSD,77878,77878,77878,77878,576,2023-04-05 14:10:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_WOOUSD,105408,105408,105408,105408,103968,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_WOOUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_WUSD,77012,77012,77012,77012,68832,2024-04-08 14:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_WUSD,104833,104833,104833,104833,84673,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_XBTUSD,86260,86260,86260,86260,86260,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_XBTUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_XBTUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_XLMUSD,86233,86233,86233,86233,84096,2023-03-07 13:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_XLMUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_XLMUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_XMRUSD,86255,86255,86255,86255,84096,2023-03-07 12:05:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_XMRUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_XMRUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_XRPUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_XRPUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_XRPUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_XTZUSD,86254,86254,86254,86254,84096,2023-03-07 12:10:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_XTZUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_XTZUSD,104833,104833,104833,104833,82945,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_YFIUSD,86260,86260,86260,86260,84096,2023-03-07 11:40:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_YFIUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_YFIUSD,104833,104833,104833,104833,41473,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_YGGUSD,76400,76400,76400,76400,67392,2024-04-10 17:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_YGGUSD,104833,104833,104833,104833,0,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ZECUSD,86256,86256,86256,86256,84096,2023-03-07 12:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ZECUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZECUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ZENUSD,7595,7595,7595,7595,0,2024-12-05 15:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZENUSD,104833,104833,104833,104833,21889,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_ZEREBROUSD,98532,98532,98532,98532,4032,2025-01-22 21:05:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ZETAUSD,66301,66301,66301,66301,0,2024-05-15 18:55:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZETAUSD,104833,104833,104833,104833,2592,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ZKUSD,43795,43795,43795,43795,0,2024-08-01 22:25:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZKUSD,104833,104833,104833,104833,74881,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_ZROUSD,55724,55724,55724,55724,0,2024-06-21 12:20:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZROUSD,104833,104833,104833,104833,38593,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_ZRXUSD,75823,75823,75823,75823,576,2023-04-12 17:25:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_ZRXUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_ZRXUSD,104833,104833,104833,104833,2880,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
