product_id,ticker,underlying_asset,effective_trading_date,product_active,authoritative_value_available,first_publication_reconstructable,revision_versioned,measure_type,coverage_status
BTC_GBTC,GBTC,BTC,2024-04-03,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-04,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-05,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-08,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-09,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-10,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-11,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-15,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-16,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-17,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-18,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-19,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-22,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-23,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-24,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-25,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-26,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-29,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-04-30,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-01,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-02,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-03,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-06,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-07,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-08,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-09,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-10,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-13,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-14,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-15,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-16,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-17,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-20,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-21,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-22,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-23,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-24,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-28,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-29,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-30,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-05-31,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-03,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-04,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-05,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-06,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-07,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-10,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-11,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-13,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-14,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-17,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-18,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-20,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-21,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-24,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-25,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-26,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-27,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-06-28,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-01,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-02,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-03,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-05,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-08,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-09,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-10,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-11,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-12,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-15,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-16,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
BTC_GBTC,GBTC,BTC,2024-07-17,True,False,False,False,unavailable,missing_daily_authoritative_flow_creation_measure
