feature,scope,month,mean_bin0,mean_bin9,delta_mean_pnl_R
consolidation_range_atr,ALL,2024-01,-0.7203202142019244,-0.1992323816564411,0.5210878325454833
consolidation_range_atr,ALL,2024-02,0.6717486858284349,0.32461992412417223,-0.3471287617042627
consolidation_range_atr,ALL,2024-03,0.15837591348060745,-0.023985114123194547,-0.182361027603802
consolidation_range_atr,ALL,2024-04,-0.052703428378244,-0.544132506888063,-0.49142907850981904
consolidation_range_atr,ALL,2024-05,-0.03692415004307217,-0.5427036051011368,-0.5057794550580647
consolidation_range_atr,ALL,2024-06,-0.6345588329530559,-1.01670674121597,-0.3821479082629141
consolidation_range_atr,ALL,2024-07,-0.02382453898124002,-0.5659355049444761,-0.542110965963236
consolidation_range_atr,ALL,2024-08,-0.3388958944277911,-0.8895688230021341,-0.550672928574343
consolidation_range_atr,ALL,2024-09,-0.1619884001104332,-0.178463316548089,-0.016474916437655807
consolidation_range_atr,ALL,2024-10,-0.9482996598758394,-0.4488539357411203,0.4994457241347191
consolidation_range_atr,ALL,2024-11,-0.027209437602446523,0.38020985104157423,0.40741928864402077
consolidation_range_atr,ALL,2024-12,0.2164179827474818,0.08019866581354529,-0.13621931693393652
consolidation_range_atr,ALL,2025-01,-0.9840798357770985,-0.16704179987081763,0.8170380359062808
consolidation_range_atr,ALL,2025-02,0.2112255359958485,-1.06725431207192,-1.2784798480677686
consolidation_range_atr,ALL,2025-03,-0.3726230686207972,-0.597769580657315,-0.2251465120365178
consolidation_range_atr,ALL,2025-04,-0.32399504464745077,0.009721111033082493,0.33371615568053326
consolidation_range_atr,ALL,2025-05,-0.14999121786756336,0.31615710527809904,0.4661483231456624
consolidation_range_atr,ALL,2025-06,0.5073952397883785,-0.5751369668447076,-1.0825322066330862
consolidation_range_atr,ALL,2025-07,0.5920849013341785,0.0980653209468194,-0.49401958038735905
consolidation_range_atr,ALL,2025-08,-2.646964243701218e-05,-0.28206382979902356,-0.28203736015658654
consolidation_range_atr,ALL,2025-09,-0.15311976141785252,-0.43592002098347377,-0.28280025956562127
consolidation_range_atr,ALL,2025-10,0.06910113664840888,-0.34333371737955637,-0.41243485402796526
consolidation_range_atr,ALL,2025-11,-0.4648151634648772,-0.3356806974672655,0.12913446599761175
days_since_prev_break,ALL,2023-01,-1.0180804060765212,-0.3116475683086643,0.7064328377678568
days_since_prev_break,ALL,2023-02,-0.3271817823421564,-0.8616777563602112,-0.5344959740180548
days_since_prev_break,ALL,2023-03,0.984518431937586,-0.3074989032240967,-1.2920173351616828
days_since_prev_break,ALL,2023-04,-1.5824773961152923,-1.0140017361462614,0.5684756599690308
days_since_prev_break,ALL,2023-05,-0.4165103172407388,-0.63281258724786,-0.21630227000712127
days_since_prev_break,ALL,2023-06,-0.03332641788348667,-1.0273365328294233,-0.9940101149459366
days_since_prev_break,ALL,2023-07,-0.7478764197138461,-0.8186015793912476,-0.07072515967740145
days_since_prev_break,ALL,2023-08,0.06881972244133815,-0.47004068404061505,-0.5388604064819532
days_since_prev_break,ALL,2023-09,-0.4594918850663409,-0.1650018322544837,0.29449005281185725
days_since_prev_break,ALL,2023-10,-0.2804867367501732,0.05386903913796719,0.3343557758881404
days_since_prev_break,ALL,2023-11,0.03955426567476172,-0.332068178633305,-0.37162244430806674
days_since_prev_break,ALL,2023-12,0.08758923005217117,0.12417863227654066,0.03658940222436949
days_since_prev_break,ALL,2024-01,-0.321438321865702,-0.82679204482604,-0.505353722960338
days_since_prev_break,ALL,2024-02,0.45455748545093466,0.3182405421201262,-0.13631694333080846
days_since_prev_break,ALL,2024-03,-0.4083459766631322,0.3402423059509123,0.7485882826140445
days_since_prev_break,ALL,2024-04,-0.22658762235432098,0.21212502131070174,0.4387126436650227
days_since_prev_break,ALL,2024-05,-0.5220315764178434,-0.7201667460980655,-0.19813516968022216
days_since_prev_break,ALL,2024-06,-0.5276474024596669,-1.4130130879497418,-0.8853656854900749
days_since_prev_break,ALL,2024-07,-0.06173962259860031,-0.3889672608791048,-0.3272276382805045
days_since_prev_break,ALL,2024-08,-0.42668676210638234,-0.7703057305545778,-0.3436189684481955
days_since_prev_break,ALL,2024-09,0.4530502739465919,-0.07116737860011256,-0.5242176525467045
days_since_prev_break,ALL,2024-10,-0.43627292525006905,-0.5645754764392437,-0.1283025511891746
days_since_prev_break,ALL,2024-11,0.587320275138518,-0.13258300138148904,-0.7199032765200071
days_since_prev_break,ALL,2024-12,0.3173416541412462,-0.1675908835507015,-0.4849325376919477
days_since_prev_break,ALL,2025-01,0.8037806749832975,-0.5191918451643438,-1.3229725201476414
days_since_prev_break,ALL,2025-02,-0.05441064080650445,0.18502487945640747,0.23943552026291193
days_since_prev_break,ALL,2025-03,-0.33771448199926707,-0.4821278579306943,-0.14441337593142722
days_since_prev_break,ALL,2025-04,0.023263607119519338,0.5268980258650625,0.5036344187455432
days_since_prev_break,ALL,2025-05,0.677941086458414,-0.032779044993100546,-0.7107201314515146
days_since_prev_break,ALL,2025-06,-0.33099228376813,-0.42691092588629864,-0.09591864211816864
days_since_prev_break,ALL,2025-07,0.42805740283544375,0.7255183243014808,0.29746092146603703
days_since_prev_break,ALL,2025-08,-0.41993569610661613,-0.26329387494269896,0.15664182116391717
days_since_prev_break,ALL,2025-09,-0.12575699839590634,0.26276200847066555,0.3885190068665719
days_since_prev_break,ALL,2025-10,0.4483334324458242,-0.08846967461869598,-0.5368031070645202
days_since_prev_break,ALL,2025-11,-0.007274582704482432,0.9630070667486744,0.9702816494531569
don_break_level,ALL,2023-01,-0.7825029657826598,0.08051908388564438,0.8630220496683041
don_break_level,ALL,2023-02,-0.012592685355443941,0.2914993207605934,0.3040920061160373
don_break_level,ALL,2023-03,-1.01853922512986,0.5894532182186634,1.6079924433485233
don_break_level,ALL,2023-04,0.5840941138269282,0.0707623056676543,-0.5133318081592739
don_break_level,ALL,2023-05,-1.0216229070327398,-0.2816940392449,0.7399288677878398
don_break_level,ALL,2023-06,1.545944496566,0.9260648392932916,-0.6198796572727084
don_break_level,ALL,2023-07,-1.0346936369818875,-0.8247206404103131,0.20997299657157442
don_break_level,ALL,2023-08,-0.16577242968083,0.21948109339307498,0.385253523073905
don_break_level,ALL,2023-09,-0.868337849829288,0.3480348158929856,1.2163726657222735
don_break_level,ALL,2023-10,0.21541362960184804,0.02199351691986831,-0.19342011268197973
don_break_level,ALL,2023-11,0.3332375725698344,0.429143596644037,0.09590602407420262
don_break_level,ALL,2023-12,0.18257628630093914,0.7553418950825863,0.5727656087816472
don_break_level,ALL,2024-01,0.6660603130799588,-0.796336820381485,-1.4623971334614438
don_break_level,ALL,2024-02,0.8230770280766373,0.345114348458102,-0.4779626796185353
don_break_level,ALL,2024-03,0.4178337803217518,-0.011804961429492925,-0.4296387417512447
don_break_level,ALL,2024-04,-0.010258740119632037,-0.0018814435567340092,0.008377296562898028
don_break_level,ALL,2024-05,-0.7394733242061127,-0.3238230607101861,0.4156502634959266
don_break_level,ALL,2024-06,-0.7596588946150543,-0.3451549674497794,0.4145039271652749
don_break_level,ALL,2024-07,-0.6696161081102349,-0.3685729374309148,0.30104317067932007
don_break_level,ALL,2024-08,-0.5234781704170897,-0.43097821085771326,0.0924999595593764
don_break_level,ALL,2024-09,0.32287256098120976,0.025822150286682465,-0.2970504106945273
don_break_level,ALL,2024-10,-0.8394694345719836,-0.33987678523535875,0.4995926493366249
don_break_level,ALL,2024-11,0.6000545017480807,0.17278974198234476,-0.42726475976573597
don_break_level,ALL,2024-12,0.45164097716113344,0.08733092149169724,-0.3643100556694362
don_break_level,ALL,2025-01,0.22851055805308698,-0.9729199499100094,-1.2014305079630965
don_break_level,ALL,2025-02,-0.6518779542902167,-0.08370948385856287,0.5681684704316537
don_break_level,ALL,2025-03,0.10182298497424565,-0.44624179534646247,-0.5480647803207082
don_break_level,ALL,2025-04,0.4841669311464197,-0.07194982604381923,-0.5561167571902389
don_break_level,ALL,2025-05,0.31828634695409763,0.4746969685199871,0.15641062156588947
don_break_level,ALL,2025-06,0.346706910390835,-0.41950372391316243,-0.7662106343039974
don_break_level,ALL,2025-07,0.3718839448849524,0.6195346227939363,0.24765067790898393
don_break_level,ALL,2025-08,-0.3799421310726975,-0.6244985668795348,-0.24455643580683728
don_break_level,ALL,2025-09,-0.3008405747517859,-0.35429957953136976,-0.053459004779583874
don_break_level,ALL,2025-10,-0.2032403316416782,0.7009854994190733,0.9042258310607515
don_break_level,ALL,2025-11,0.5543217065503317,-0.3368230341677129,-0.8911447407180446
don_dist_atr,ALL,2023-01,2.1743595921594654,-1.0146508781637733,-3.1890104703232387
don_dist_atr,ALL,2023-02,0.2545694667813332,-0.42605698484026305,-0.6806264516215963
don_dist_atr,ALL,2023-03,0.8894305413175551,2.7321141673320275,1.8426836260144723
don_dist_atr,ALL,2023-04,0.12535837157803764,-2.6384980780066343,-2.763856449584672
don_dist_atr,ALL,2023-05,1.4734725938235276,-1.00821486178951,-2.4816874556130375
don_dist_atr,ALL,2023-06,-0.31304923424323855,0.5658107352265189,0.8788599694697574
don_dist_atr,ALL,2023-07,-0.4686408303601209,-0.5451231660043049,-0.076482335644184
don_dist_atr,ALL,2023-08,-0.21274783817439533,0.6399110154083566,0.852658853582752
don_dist_atr,ALL,2023-09,-0.4727495185273545,-0.7757485477791899,-0.3029990292518354
don_dist_atr,ALL,2023-10,-0.0805211374709726,-0.2420573628184681,-0.1615362253474955
don_dist_atr,ALL,2023-11,0.3168402521213426,0.17190614697944678,-0.1449341051418958
don_dist_atr,ALL,2023-12,0.20134142405626598,0.5977958453059186,0.3964544212496526
don_dist_atr,ALL,2024-01,-0.47321088407568496,-0.014242361554304006,0.45896852252138093
don_dist_atr,ALL,2024-02,0.8879905404518873,-0.10096412933472837,-0.9889546697866156
don_dist_atr,ALL,2024-03,0.374827602462332,-0.2234261532916017,-0.5982537557539337
don_dist_atr,ALL,2024-04,-0.27708184349098014,0.6497378228642751,0.9268196663552553
don_dist_atr,ALL,2024-05,-0.4768276716972191,-1.0211278947059734,-0.5443002230087544
don_dist_atr,ALL,2024-06,-0.6164072014988184,-1.6156843361397255,-0.9992771346409071
don_dist_atr,ALL,2024-07,-0.6889870342415438,-0.12559855100662987,0.563388483234914
don_dist_atr,ALL,2024-08,-0.36778635364791523,-0.5803789942770001,-0.2125926406290849
don_dist_atr,ALL,2024-09,-0.7775047126706691,-0.19048947618938866,0.5870152364812804
don_dist_atr,ALL,2024-10,-0.4913422055347957,-0.5837068511145487,-0.09236464557975299
don_dist_atr,ALL,2024-11,0.02660059804373439,0.35563447896733225,0.32903388092359787
don_dist_atr,ALL,2024-12,0.6321753593212484,-0.8228138108555721,-1.4549891701768205
don_dist_atr,ALL,2025-01,-0.38494294560612924,-0.8778329129589479,-0.4928899673528187
don_dist_atr,ALL,2025-02,-0.4290804172082258,-1.58565125467146,-1.1565708374632342
don_dist_atr,ALL,2025-03,0.9752519238784058,-0.08929731983495495,-1.0645492437133608
don_dist_atr,ALL,2025-04,0.5809909430292933,-0.219470925054453,-0.8004618680837463
don_dist_atr,ALL,2025-05,0.26775270992762856,0.23177020664469852,-0.03598250328293004
don_dist_atr,ALL,2025-06,-0.9432893222604195,-0.48488582420070575,0.45840349805971375
don_dist_atr,ALL,2025-07,0.15324511443999264,0.13696871232107688,-0.01627640211891576
don_dist_atr,ALL,2025-08,-0.48607573756009126,-0.11401558900928827,0.372060148550803
don_dist_atr,ALL,2025-09,0.18623564198550413,-0.2575358088623884,-0.44377145084789255
don_dist_atr,ALL,2025-10,0.8642156287788076,0.06565901833432822,-0.7985566104444795
don_dist_atr,ALL,2025-11,0.08920421814549144,-0.9228220664174247,-1.0120262845629162
eth_funding_rate,ALL,2023-03,-1.02263523026823,,
eth_funding_rate,ALL,2023-04,-0.8849539617679535,,
eth_funding_rate,ALL,2023-05,-1.02514774946002,,
eth_funding_rate,ALL,2023-06,3.98142013370503,,
eth_funding_rate,ALL,2023-07,-0.6064358635370936,,
eth_funding_rate,ALL,2023-08,-0.4496055508958875,,
eth_funding_rate,ALL,2023-09,-0.29272484113114583,,
eth_funding_rate,ALL,2023-10,-0.529208955472452,,
eth_funding_rate,ALL,2023-11,,0.442330798620262,
eth_funding_rate,ALL,2023-12,,-0.03391158314012608,
eth_funding_rate,ALL,2024-01,,-1.0225272204122526,
eth_funding_rate,ALL,2024-02,0.199635415619006,0.3446042930362824,0.14496887741727643
eth_funding_rate,ALL,2024-03,,-0.06340302117718075,
eth_funding_rate,ALL,2024-04,-0.7458619656889707,-1.0323729161183077,-0.28651095042933705
eth_funding_rate,ALL,2024-05,-0.5077198848095076,-0.6927055677715653,-0.18498568296205775
eth_funding_rate,ALL,2024-06,-1.46465626816056,,
eth_funding_rate,ALL,2024-07,-0.6315276101023339,,
eth_funding_rate,ALL,2024-08,0.341478936895021,,
eth_funding_rate,ALL,2024-09,-0.4298013275885786,,
eth_funding_rate,ALL,2024-10,-0.06851646549817152,,
eth_funding_rate,ALL,2024-11,,0.15776135777313885,
eth_funding_rate,ALL,2024-12,-1.720499372845472,0.36618424598608557,2.0866836188315574
eth_funding_rate,ALL,2025-01,2.90222414115043,,
eth_funding_rate,ALL,2025-02,-0.6049581340257854,,
eth_funding_rate,ALL,2025-03,-0.09220078554211512,,
eth_funding_rate,ALL,2025-04,0.44069383992238575,,
eth_funding_rate,ALL,2025-05,-0.17652444867581576,,
eth_funding_rate,ALL,2025-06,0.1619442097622323,,
eth_funding_rate,ALL,2025-07,-0.7510607888891438,,
eth_funding_rate,ALL,2025-08,0.016312468010816435,,
eth_funding_rate,ALL,2025-09,-0.13859166905536818,,
eth_funding_rate,ALL,2025-10,0.23578439402336823,,
eth_funding_rate,ALL,2025-11,-0.022077141956283367,,
eth_macd_hist_4h,ALL,2023-02,,-1.02057527251001,
eth_macd_hist_4h,ALL,2023-03,,-1.02256489900642,
eth_macd_hist_4h,ALL,2023-04,-1.018301296119325,,
eth_macd_hist_4h,ALL,2023-11,0.6538027891444333,-0.45578020745206504,-1.1095829965964983
eth_macd_hist_4h,ALL,2023-12,0.6911056775110269,,
eth_macd_hist_4h,ALL,2024-01,-0.4053476616243188,0.1269818882377544,0.5323295498620731
eth_macd_hist_4h,ALL,2024-02,1.0701403228306257,,
eth_macd_hist_4h,ALL,2024-03,-0.07089846215598039,-0.1313010899649924,-0.06040262780901201
eth_macd_hist_4h,ALL,2024-04,-0.19315854063049656,-0.536960702351008,-0.3438021617205115
eth_macd_hist_4h,ALL,2024-05,-0.35044764544358203,-0.6442123669002792,-0.29376472145669713
eth_macd_hist_4h,ALL,2024-06,-0.7794795803401968,,
eth_macd_hist_4h,ALL,2024-07,-0.29134223587068664,-0.37143464537375853,-0.08009240950307189
eth_macd_hist_4h,ALL,2024-08,-0.19056205183342004,1.933237871751763,2.123799923585183
eth_macd_hist_4h,ALL,2024-09,0.19306266662079208,-0.797779093331848,-0.9908417599526401
eth_macd_hist_4h,ALL,2024-10,-0.4231487300051831,,
eth_macd_hist_4h,ALL,2024-11,-0.10537954200112336,1.3608785802596504,1.4662581222607738
eth_macd_hist_4h,ALL,2024-12,1.1435381261116842,0.7887118555972111,-0.354826270514473
eth_macd_hist_4h,ALL,2025-01,-0.39377575984565816,-0.29292985385439063,0.10084590599126753
eth_macd_hist_4h,ALL,2025-02,-0.2923861583668661,,
eth_macd_hist_4h,ALL,2025-03,-0.3167388910466346,-1.018197128511784,-0.7014582374651492
eth_macd_hist_4h,ALL,2025-04,3.99057760596789,-0.5196877234646802,-4.5102653294325705
eth_macd_hist_4h,ALL,2025-05,-0.43564520981251625,1.1761071040818825,1.6117523138943988
eth_macd_hist_4h,ALL,2025-06,0.13722470764475725,-0.4074933858520985,-0.5447180934968557
eth_macd_hist_4h,ALL,2025-07,-0.20771491590584143,0.5100669947014809,0.7177819106073223
eth_macd_hist_4h,ALL,2025-08,0.294624917847018,-0.18656053651930726,-0.48118545436632526
eth_macd_hist_4h,ALL,2025-09,-0.2720934098996723,-0.32021578777709325,-0.04812237787742096
eth_macd_hist_4h,ALL,2025-10,-0.35885738177724674,-0.015364849222971195,0.34349253255427553
eth_macd_hist_4h,ALL,2025-11,0.1944853080774,-0.5818574859037772,-0.7763427939811771
eth_macd_hist_slope_1h,ALL,2023-01,1.71066933426542,,
