feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
asset_macd_slope_1h,S5_btcRisk_x_regimeUp,5,212,245,0.25335165541244714,0.6803135197484145,0.42696186433596733,0.27358490566037735,0.23265306122448978,-0.04093184443588757,-0.028646651764364348,0.5374330960418267,0.566079747806191,0.6606060606060605,0.06666666666666665,0.42696186433596733,0.44742778655391113
asset_macd_slope_1h,risk_on,1,212,245,0.25335165541244714,0.6803135197484145,0.42696186433596733,0.27358490566037735,0.23265306122448978,-0.04093184443588757,-0.028646651764364348,0.5374330960418267,0.566079747806191,0.6606060606060605,0.06666666666666665,0.42696186433596733,0.44742778655391113
asset_vol_4h,S1_regime_code_1d,3,455,399,-0.32289432826280634,0.09709917773973618,0.41999350600254254,0.11868131868131868,0.2556390977443609,0.1369577790630422,-0.5593489556957303,-0.03309228365388845,0.5262566720418418,0.8303030303030302,0.9757575757575757,0.41999350600254254,0.35151461647102145
atr_1h,S1_regime_code_1d,3,380,434,-0.35058118997402216,0.06829332123801461,0.4188745112120368,0.15526315789473685,0.17972350230414746,0.02446034440941061,-0.5666991003803244,-0.1519967430663263,0.4147023573139982,0.04242424242424241,0.6484848484848483,0.4188745112120368,0.4066443390073315
atr_at_entry,S1_regime_code_1d,3,380,434,-0.35058118997402216,0.06829332123801461,0.4188745112120368,0.15526315789473685,0.17972350230414746,0.02446034440941061,-0.5666991003803244,-0.1519967430663263,0.4147023573139982,0.04242424242424241,0.6484848484848483,0.4188745112120368,0.4066443390073315
asset_vol_1h,risk_on,0,532,642,-0.3713675950357193,0.04464392567742499,0.4160115207131443,0.07330827067669173,0.27102803738317754,0.19771976670648583,-0.50118183485913,-0.12221816557654532,0.37896366928258474,0.5878787878787878,0.9272727272727272,0.4160115207131443,0.3171516373599014
asset_rsi_15m,S1_regime_code_1d,3,383,351,-0.13888473920613864,0.2746186784291831,0.4135034176353217,0.26370757180156656,0.11396011396011396,-0.1497474578414526,-0.4377381458727401,0.1811712420042513,0.6189093878769915,0.7575757575757575,-0.9515151515151514,0.4135034176353217,0.488377146556048
funding_abs,S1_regime_code_1d,3,496,411,-0.2804011846928355,0.13156689912747194,0.4119680838203074,0.13911290322580644,0.17518248175182483,0.03606957852601839,-0.45880852931730703,0.046646110668492245,0.5054546399857993,0.8285714285714287,0.14285714285714288,0.4119680838203074,0.3939332945572982
rv_3d,risk_on,0,488,660,-0.39568006461675387,0.01347847392094093,0.4091585385376948,0.09836065573770492,0.2681818181818182,0.16982116244411327,-0.5838924047356103,-0.17029918734393457,0.41359321739167576,0.5030303030303029,0.9515151515151514,0.4091585385376948,0.32424795731563816
atr_pct,S1_regime_code_1d,3,468,388,-0.3478285338298386,0.05703997015711858,0.4048685039869572,0.11538461538461539,0.2603092783505155,0.1449246629659001,-0.5655069560297307,-0.06761798959509265,0.49788896643463804,0.8666666666666665,0.9636363636363635,0.4048685039869572,0.3324061725040071
