feature,scope,n_months,mean_delta,std_delta,frac_pos
eth_macd_hist_slope_4h,RISK_ON_1,9,0.5294636379143896,1.2385427035106495,0.6153846153846154
asset_rsi_15m,RISK_ON_1,19,0.5114983863969749,1.199208287473225,0.5909090909090909
asset_macd_line_1h,RISK_ON_1,17,0.46797365073833735,0.8027324395849401,0.5238095238095238
eth_oi_z_7d,RISK_ON_1,4,0.4434958656814403,0.6938434448664413,0.16666666666666666
asset_macd_signal_1h,RISK_ON_1,19,0.435182504827876,0.5891486876283456,0.7142857142857143
eth_macd_signal_4h,RISK_ON_1,1,0.4266876192442615,,0.125
rsi_1h,RISK_ON_1,19,0.42564906313125855,1.102712378179759,0.7142857142857143
asset_macd_hist_4h,RISK_ON_1,18,0.4036546481281566,1.6902805905074505,0.6666666666666666
asset_macd_slope_1h,RISK_ON_1,18,0.36002144539509107,0.7110188547070999,0.6190476190476191
don_break_level,RISK_ON_1,18,0.3336248486332694,0.5120903155376633,0.5454545454545454
funding_rollsum_3d,RISK_ON_1,11,0.2920914082730867,1.224717639112138,0.3157894736842105
atr_1h,RISK_ON_1,18,0.25733593537088245,0.5892647218501228,0.5
atr_at_entry,RISK_ON_1,18,0.25733593537088245,0.5892647218501228,0.5
asset_macd_slope_4h,RISK_ON_1,20,0.24979199799313334,0.9480108082950507,0.5714285714285714
funding_rate,RISK_ON_1,11,0.24964055892191447,0.8225873738323413,0.42105263157894735
asset_macd_signal_4h,RISK_ON_1,20,0.11748293974566677,1.2311246295305704,0.5454545454545454
eth_macd_hist_slope_1h,RISK_ON_1,9,0.08105742569865552,1.3602076644343464,0.25
gap_from_1d_ma,RISK_ON_1,20,0.07997132205531533,1.1267887765501687,0.4
asset_macd_line_4h,RISK_ON_1,20,0.07152308606110343,1.1988145660586664,0.5
adx_1h,RISK_ON_1,16,0.04478200019930052,0.751625171826573,0.45
asset_macd_hist_1h,RISK_ON_1,20,0.013611760214385727,1.1022057555750384,0.47619047619047616
funding_z_7d,RISK_ON_1,13,-0.016878386679656056,1.8314283843832664,0.3684210526315789
days_since_prev_break,RISK_ON_1,19,-0.10949240381845951,1.434300325145994,0.4
don_dist_atr,RISK_ON_1,17,-0.24122620302664116,1.1117984904540104,0.3
consolidation_range_atr,RISK_ON_1,18,-0.32846890463222916,1.0420000161821872,0.3181818181818182
vol_mult,RISK_ON_1,16,-0.3623012951565218,0.6462525432695475,0.3
funding_abs,RISK_ON_1,14,-0.4172702343097097,0.9685798785148043,0.2777777777777778
atr_pct,RISK_ON_1,15,-0.42826776608047895,1.4219393390214885,0.23809523809523808
asset_vol_4h,RISK_ON_1,14,-0.5088534073883956,0.9324577236638094,0.19047619047619047
btc_oi_z_7d,RISK_ON_1,9,-0.5394943752782468,1.9230680695567048,0.2222222222222222
prior_1d_ret,RISK_ON_1,14,-0.6050679308863127,1.5774986960178974,0.25
rv_3d,RISK_ON_1,14,-0.617762584316632,1.1022616151556597,0.19047619047619047
prebreak_congestion,RISK_ON_1,14,-0.6423394056996239,1.09590327175084,0.19047619047619047
asset_vol_1h,RISK_ON_1,15,-0.7155457613718841,0.9229255078042866,0.19047619047619047
vol_prob_low_1d,RISK_ON_1,5,-0.7628428552998382,1.5437230417202348,0.13333333333333333
btc_trend_slope,RISK_ON_1,0,,,0.0
btc_vol_regime_level,RISK_ON_1,0,,,0.0
eth_funding_rate,RISK_ON_1,0,,,0.0
eth_macd_hist_4h,RISK_ON_1,0,,,0.0
eth_macd_line_4h,RISK_ON_1,0,,,0.0
eth_trend_slope,RISK_ON_1,0,,,0.0
eth_vol_regime_level,RISK_ON_1,0,,,0.0
