symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi,1932,1483,1483,5.0,15.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,65,43,43,5.0,15.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,582,513,513,5.0,10.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,930,790,790,5.0,10.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,360,308,308,5.0,10.0
PF_ALCHUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALCHUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALCHUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,37,28,28,5.0,13.249999999999993
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection,3186,2597,2597,5.0,10.0
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection,10377,7209,7209,5.0,15.0
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection,14908,10040,10040,5.0,15.0
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi,1456,1220,1220,5.0,10.0
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi,5204,3707,3707,5.0,15.0
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi,8011,5581,5581,5.0,15.0
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,22,14,14,5.0,16.75
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,318,212,212,5.0,15.0
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,569,362,362,5.0,15.0
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,568,483,483,5.0,10.0
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,2009,1533,1533,5.0,15.0
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,3055,2376,2376,5.0,15.0
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,268,225,225,5.0,10.0
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,1612,1166,1166,5.0,15.0
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,2602,1867,1867,5.0,15.0
PF_ALGOUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALGOUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALGOUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ALICEUSD,2023,trade_downside+mark_downside+structural_rejection,849,779,779,5.0,10.0
PF_ALICEUSD,2024,trade_downside+mark_downside+structural_rejection,3030,2478,2478,5.0,10.0
