symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_COWUSD,2024,10161,1440,10149,10149,1728,1728,1728,10161
PF_COWUSD,2025,104833,5472,104833,104833,14976,104833,27361,104833
PF_CROUSD,2023,0,0,0,0,0,0,0,0
PF_CROUSD,2024,3237,0,3225,3225,0,0,0,3237
PF_CROUSD,2025,104833,31392,104833,104833,8064,99649,1152,104833
PF_CRVUSD,2023,86258,84096,86246,86246,28512,77760,0,86258
PF_CRVUSD,2024,105408,105408,105408,105408,97056,105408,0,105408
PF_CRVUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_CTSIUSD,2023,0,0,0,0,0,0,0,0
PF_CTSIUSD,2024,62330,0,62318,62318,0,53856,52128,62330
PF_CTSIUSD,2025,104833,4032,104833,104833,0,104833,70273,104833
PF_CVXUSD,2023,79589,576,79577,79577,0,71136,0,79589
PF_CVXUSD,2024,105408,100800,105408,105408,6912,105408,37728,105408
PF_CVXUSD,2025,104833,41184,104833,104833,2304,104833,90721,104833
PF_DASHUSD,2023,86256,84096,86244,86244,0,77760,0,86256
PF_DASHUSD,2024,105408,105408,105408,105408,0,99648,9792,105408
PF_DASHUSD,2025,104833,68545,104833,104833,20737,104833,0,104833
PF_DEEPUSD,2023,0,0,0,0,0,0,0,0
PF_DEEPUSD,2024,13436,0,13424,13424,0,4896,0,13436
PF_DEEPUSD,2025,104833,23040,104833,104833,0,104833,50689,104833
PF_DEGENUSD,2023,0,0,0,0,0,0,0,0
PF_DEGENUSD,2024,13585,0,13573,13573,5184,5184,0,13585
PF_DEGENUSD,2025,104833,18720,104833,104833,3168,104833,2593,104833
PF_DOGEUSD,2023,86257,84096,86245,86245,77760,77760,0,86257
PF_DOGEUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_DOGEUSD,2025,104833,104833,104833,104833,104833,82657,0,104833
PF_DOGUSD,2023,0,0,0,0,0,0,0,0
PF_DOGUSD,2024,13599,1440,13587,13587,5184,5184,5184,13599
PF_DOGUSD,2025,104833,48960,104833,104833,37152,104833,72577,104833
PF_DOTUSD,2023,86259,84096,86247,86247,76320,71424,0,86259
PF_DOTUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_DOTUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_DYDXUSD,2023,86260,84096,86248,86248,7488,77760,0,86260
PF_DYDXUSD,2024,105408,105408,105408,105408,23328,105408,0,105408
PF_DYDXUSD,2025,104833,104833,104833,104833,2016,104833,0,104833
PF_DYMUSD,2023,0,0,0,0,0,0,0,0
PF_DYMUSD,2024,94277,67392,94265,94265,40032,85824,0,94277
PF_DYMUSD,2025,104833,6624,104833,104833,0,104833,3169,104833
PF_EGLDUSD,2023,86259,84096,86247,86247,0,77760,0,86259
PF_EGLDUSD,2024,105408,103968,105408,105408,0,105408,0,105408
