symbol,year,unique_economic_addresses,addresses_in_multiple_grammar_cells,total_grammar_memberships,maximum_grammar_memberships_per_address
PF_MOODENGUSD,2025,15014,7841,26766,5
PF_MORPHOUSD,2023,0,0,0,0
PF_MORPHOUSD,2024,88,56,168,4
PF_MORPHOUSD,2025,1931,818,3526,7
PF_MOVEUSD,2023,0,0,0,0
PF_MOVEUSD,2024,0,0,0,0
PF_MOVEUSD,2025,2202,906,3559,4
PF_MOVRUSD,2023,0,0,0,0
PF_MOVRUSD,2024,0,0,0,0
PF_MOVRUSD,2025,14,3,17,2
PF_NEARUSD,2023,2587,1098,4201,5
PF_NEARUSD,2024,15260,7777,26627,5
PF_NEARUSD,2025,17738,8734,33784,7
PF_NEIROUSD,2023,0,0,0,0
PF_NEIROUSD,2024,40,17,60,3
PF_NEIROUSD,2025,5924,2716,10254,5
PF_NEOUSD,2023,0,0,0,0
PF_NEOUSD,2024,0,0,0,0
PF_NEOUSD,2025,14,3,18,3
PF_NMRUSD,2023,0,0,0,0
PF_NMRUSD,2024,0,0,0,0
PF_NMRUSD,2025,1528,763,2972,6
PF_NOTUSD,2023,0,0,0,0
PF_NOTUSD,2024,23,6,30,3
PF_NOTUSD,2025,1060,413,1692,4
PF_OGNUSD,2023,1313,563,2148,4
PF_OGNUSD,2024,1000,403,1689,5
PF_OGNUSD,2025,0,0,0,0
PF_ONDOUSD,2023,0,0,0,0
PF_ONDOUSD,2024,6943,3264,11686,5
PF_ONDOUSD,2025,14480,7142,25078,5
PF_OPUSD,2023,3175,1353,5012,4
PF_OPUSD,2024,13442,6831,23689,5
PF_OPUSD,2025,14936,7508,26585,5
PF_ORDIUSD,2023,0,0,0,0
PF_ORDIUSD,2024,7059,3448,12199,5
PF_ORDIUSD,2025,7178,3522,12969,4
PF_PENDLEUSD,2023,0,0,0,0
PF_PENDLEUSD,2024,0,0,0,0
PF_PENDLEUSD,2025,6208,2692,10658,4
PF_PENGUUSD,2023,0,0,0,0
PF_PENGUUSD,2024,0,0,0,0
PF_PENGUUSD,2025,10761,5407,19139,5
PF_PEOPLEUSD,2023,0,0,0,0
PF_PEOPLEUSD,2024,0,0,0,0
PF_PEOPLEUSD,2025,371,139,590,4
PF_PEPEUSD,2023,28,9,41,4
PF_PEPEUSD,2024,16151,8123,27945,5
PF_PEPEUSD,2025,17775,8748,31274,5
PF_PNUTUSD,2023,0,0,0,0
PF_PNUTUSD,2024,92,45,149,4
PF_PNUTUSD,2025,9661,4706,16787,5
PF_POLUSD,2023,0,0,0,0
PF_POLUSD,2024,145,97,268,4
PF_POLUSD,2025,8240,3797,14607,5
PF_POPCATUSD,2023,0,0,0,0
PF_POPCATUSD,2024,259,103,375,3
PF_POPCATUSD,2025,17777,8699,30132,5
PF_PUMPUSD,2023,0,0,0,0
PF_PUMPUSD,2024,0,0,0,0
PF_PUMPUSD,2025,4457,2179,7502,5
PF_PYTHUSD,2023,27,8,40,4
PF_PYTHUSD,2024,10178,4890,17321,5
PF_PYTHUSD,2025,6871,3372,12714,5
PF_QNTUSD,2023,1325,424,1919,4
PF_QNTUSD,2024,5932,2378,9642,5
PF_QNTUSD,2025,1911,912,3529,5
PF_QTUMUSD,2023,1241,400,1826,4
PF_QTUMUSD,2024,1612,680,2825,4
PF_QTUMUSD,2025,190,97,344,4
PF_RAYUSD,2023,0,0,0,0
PF_RAYUSD,2024,88,42,152,4
PF_RAYUSD,2025,7432,3590,13115,5
PF_RENDERUSD,2023,0,0,0,0
PF_RENDERUSD,2024,105,58,183,4
PF_RENDERUSD,2025,12039,6191,21734,5
PF_RLCUSD,2023,3,0,3,1
PF_RLCUSD,2024,1376,565,2268,5
PF_RLCUSD,2025,0,0,0,0
PF_RSRUSD,2023,0,0,0,0
PF_RSRUSD,2024,97,43,154,4
PF_RSRUSD,2025,635,311,1193,5
PF_RUNEUSD,2023,3328,1564,5563,5
PF_RUNEUSD,2024,13405,7164,23771,5
PF_RUNEUSD,2025,10565,5357,19461,5
PF_SAGAUSD,2023,0,0,0,0
PF_SAGAUSD,2024,3248,1181,5039,5
PF_SAGAUSD,2025,0,0,0,0
PF_SEIUSD,2023,0,0,0,0
PF_SEIUSD,2024,7629,3847,13305,5
PF_SEIUSD,2025,11379,5581,20363,5
PF_SHIBUSD,2023,11,6,22,4
PF_SHIBUSD,2024,13544,6866,23748,5
PF_SHIBUSD,2025,13704,6609,24049,5
PF_SKLUSD,2023,0,0,0,0
PF_SKLUSD,2024,0,0,0,0
PF_SKLUSD,2025,308,142,570,5
PF_SNXUSD,2023,5650,2345,8869,5
PF_SNXUSD,2024,8921,4291,15466,5
PF_SNXUSD,2025,4944,2505,9370,5
PF_SOLUSD,2023,12731,6601,21608,5
PF_SOLUSD,2024,17534,8578,29315,5
PF_SOLUSD,2025,17542,8754,30591,5
PF_SPELLUSD,2023,0,0,0,0
PF_SPELLUSD,2024,1955,627,2933,5
PF_SPELLUSD,2025,396,207,806,5
PF_SPKUSD,2023,0,0,0,0
PF_SPKUSD,2024,0,0,0,0
PF_SPKUSD,2025,127,37,187,4
PF_SPXUSD,2023,0,0,0,0
PF_SPXUSD,2024,0,0,0,0
PF_SPXUSD,2025,9791,4911,17344,5
PF_STGUSD,2023,3,2,6,3
PF_STGUSD,2024,890,361,1489,4
PF_STGUSD,2025,0,0,0,0
PF_STORJUSD,2023,3146,1352,5040,5
PF_STORJUSD,2024,6619,2933,11188,5
PF_STORJUSD,2025,795,412,1484,4
PF_STRKUSD,2023,0,0,0,0
PF_STRKUSD,2024,5714,2543,9701,5
PF_STRKUSD,2025,5398,2533,10049,5
PF_STXUSD,2023,22,13,38,3
PF_STXUSD,2024,11779,5932,20611,5
PF_STXUSD,2025,10624,5055,18659,5
PF_SUIUSD,2023,36,14,58,3
PF_SUIUSD,2024,16401,8173,28086,5
PF_SUIUSD,2025,18112,9125,32054,5
PF_SUSD,2023,0,0,0,0
PF_SUSD,2024,0,0,0,0
PF_SUSD,2025,3364,1303,5661,4
PF_SUSHIUSD,2023,3966,1467,6348,4
PF_SUSHIUSD,2024,6564,3047,11462,5
PF_SUSHIUSD,2025,10855,5328,19214,4
PF_TAOUSD,2023,0,0,0,0
PF_TAOUSD,2024,239,107,379,5
PF_TAOUSD,2025,15172,7728,27198,5
PF_THETAUSD,2023,1162,454,1813,4
PF_THETAUSD,2024,8068,3887,14027,5
PF_THETAUSD,2025,7700,3765,13523,4
PF_TIAUSD,2023,50,23,76,3
PF_TIAUSD,2024,16004,7935,26996,5
PF_TIAUSD,2025,13913,6951,24696,5
PF_TRBUSD,2023,0,0,0,0
PF_TRBUSD,2024,0,0,0,0
PF_TRBUSD,2025,768,327,1238,4
PF_TRUMPUSD,2023,0,0,0,0
PF_TRUMPUSD,2024,0,0,0,0
PF_TRUMPUSD,2025,12925,6832,23192,5
PF_TRUUSD,2023,0,0,0,0
