symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_FILUSD,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 00:05:00+00:00,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_FLOKIUSD,2024-05-15 17:05:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 01:20:00+00:00,2024-05-15 17:05:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_FLOWUSD,2023-03-07 13:55:00+00:00,,,2023-03-07 13:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_FLRUSD,2023-03-07 11:40:00+00:00,,,2023-03-07 11:40:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GALAUSD,2023-03-07 11:55:00+00:00,2024-03-25 00:00:00+00:00,2024-03-25 00:30:00+00:00,2023-03-07 11:55:00+00:00,2024-03-25 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GIGAUSD,2024-12-13 17:45:00+00:00,,,2024-12-13 17:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GMTUSD,2023-03-07 11:45:00+00:00,2025-07-29 00:00:00+00:00,2025-07-29 04:10:00+00:00,2023-03-07 11:45:00+00:00,2025-07-29 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GMXUSD,2023-03-08 22:45:00+00:00,2024-04-13 00:00:00+00:00,2024-04-13 01:05:00+00:00,2023-03-08 22:45:00+00:00,2024-04-13 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GOATUSD,2024-10-24 20:50:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 01:00:00+00:00,2024-10-24 20:50:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GRASSUSD,2024-11-14 22:15:00+00:00,2025-06-20 00:00:00+00:00,2025-06-20 00:50:00+00:00,2024-11-14 22:15:00+00:00,2025-06-20 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GRIFFAINUSD,2025-01-22 16:20:00+00:00,2025-06-18 00:00:00+00:00,2025-06-18 01:50:00+00:00,2025-01-22 16:20:00+00:00,2025-06-18 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_GRTUSD,2023-03-07 11:40:00+00:00,2024-03-21 00:00:00+00:00,2024-03-21 00:45:00+00:00,2023-03-07 11:40:00+00:00,2024-03-21 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_HBARUSD,2024-06-25 16:50:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:45:00+00:00,2024-06-25 16:50:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_HFTUSD,2023-07-26 17:45:00+00:00,,,2023-07-26 17:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_HYPEUSD,2025-01-24 21:35:00+00:00,2025-03-17 00:00:00+00:00,2025-03-17 02:00:00+00:00,2025-01-24 21:35:00+00:00,2025-03-17 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ICPUSD,2023-03-07 14:00:00+00:00,2024-02-03 00:00:00+00:00,2024-02-03 00:10:00+00:00,2023-03-07 14:00:00+00:00,2024-02-03 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ICXUSD,2023-03-07 15:05:00+00:00,2024-07-25 00:00:00+00:00,2024-07-25 00:05:00+00:00,2023-03-07 15:05:00+00:00,2024-07-25 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
