model,fold,target,train_n,test_n,t_test_start,t_test_end,slice,state,n,pos_rate,auc,avg_precision,logloss,brier,accuracy@0.5,precision@0.5,recall@0.5,mean_pnl_R,top10_n,top10_mean_pnl_R,top10_winrate,top10_timerate
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S1_regime_code_1d,2,472.0,0.3177966101694915,0.8163146997929607,0.6590801088577979,0.5182690650595364,0.1711676523581749,0.7711864406779662,0.6193181818181818,0.7266666666666667,0.33777002885702945,47.0,2.2609593066917792,0.8085106382978723,0.40425531914893614
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S1_regime_code_1d,3,1407.0,0.23098791755508175,0.7613962747049624,0.451464896116036,0.5889991945971269,0.20223542735790168,0.6830135039090263,0.3944153577661431,0.6953846153846154,-0.04645947454598596,140.0,1.1563709616803575,0.5428571428571428,0.2642857142857143
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S2_markov_x_vol1d,1,336.0,0.25892857142857145,0.7965194109772424,0.5897522723189634,0.5288544393329937,0.1747732359485423,0.7708333333333334,0.5462962962962963,0.6781609195402298,0.1411831442993862,33.0,2.2901930927817644,0.7272727272727273,0.15151515151515152
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S2_markov_x_vol1d,0,1298.0,0.22650231124807396,0.7627415508035883,0.45124236596750805,0.5730910038737262,0.19654767947919388,0.6926040061633282,0.39603960396039606,0.6802721088435374,-0.05680097590091066,129.0,1.319128341016994,0.5503875968992248,0.18604651162790697
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S3_funding_x_oi,6,596.0,0.25838926174496646,0.7935593817946759,0.5269196567030624,0.5555074724904854,0.18725988632524362,0.7181208053691275,0.4700854700854701,0.7142857142857143,0.02036802720091707,59.0,1.8001618495372973,0.7457627118644068,0.4745762711864407
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S3_funding_x_oi,7,627.0,0.26953748006379585,0.7659104415906566,0.5327376768834032,0.5642078076480395,0.1923416425439476,0.7049441786283892,0.468,0.6923076923076923,0.1260291854465214,62.0,1.7403678621492922,0.6451612903225806,0.1774193548387097
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S3_funding_x_oi,8,534.0,0.20973782771535582,0.7936061272850372,0.5264967395401693,0.5680954861811578,0.1932623507507588,0.7134831460674157,0.4,0.7321428571428571,-0.08043549054568024,53.0,1.5330062393098178,0.6226415094339622,0.3018867924528302
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S4_crowd_x_trend1d,3,1879.0,0.2527940393826503,0.7750082471135102,0.5107079149235274,0.5712319667409573,0.19443128164216403,0.7051623203831825,0.4472630173564753,0.7052631578947368,0.050057995175261105,187.0,1.5537555796638636,0.6363636363636364,0.31016042780748665
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S5_btcRisk_x_regimeUp,4,416.0,0.25721153846153844,0.7861658046759217,0.5017598264028571,0.5564952856780631,0.1868434199831255,0.7379807692307693,0.4935064935064935,0.7102803738317757,0.030690767711368343,41.0,1.3297728376947133,0.5365853658536586,0.14634146341463414
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S5_btcRisk_x_regimeUp,5,976.0,0.29200819672131145,0.7946276690278518,0.5727083493024855,0.5765970018278377,0.19683205708474852,0.6987704918032787,0.49015317286652077,0.7859649122807018,0.22660745089923023,97.0,1.834589779915776,0.7216494845360825,0.4020618556701031
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S5_btcRisk_x_regimeUp,0,202.0,0.1188118811881188,0.6750936329588014,0.22770155853846286,0.539585741802106,0.1832629707166379,0.7029702970297029,0.1896551724137931,0.4583333333333333,-0.5038286211369669,20.0,0.291116681554211,0.4,0.25
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S6_fresh_x_compress,1,383.0,0.2349869451697128,0.7948047023132347,0.5308444824657107,0.5738214191707643,0.1934856260526246,0.6997389033942559,0.41830065359477125,0.7111111111111111,0.018438130793377083,38.0,1.6179924455750974,0.6052631578947368,0.23684210526315788
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S6_fresh_x_compress,2,421.0,0.19714964370546317,0.7335852284879162,0.34510375131085536,0.590491985561837,0.20156637675814826,0.6959619952494062,0.3548387096774194,0.6626506024096386,-0.148410252717056,42.0,0.542498645593793,0.4523809523809524,0.30952380952380953
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S6_fresh_x_compress,0,360.0,0.2916666666666667,0.779234360410831,0.5971279096217399,0.5648909162230122,0.1929035988459268,0.7027777777777777,0.49333333333333335,0.7047619047619048,0.18129101155830432,36.0,1.9720162079491503,0.6944444444444444,0.2777777777777778
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S6_fresh_x_compress,7,250.0,0.256,0.795866935483871,0.5640333964782723,0.5435671700559319,0.18398657944719635,0.748,0.5052631578947369,0.75,0.045463156736841495,25.0,1.572630878026688,0.68,0.32
logreg,1,y_good_05,9282,1879,2023-11-09 00:00:00+00:00,2024-03-02 18:15:00+00:00,S6_fresh_x_compress,6,278.0,0.3057553956834532,0.7837244742456567,0.5898236780444888,0.5780173444369711,0.1969809842046657,0.6906474820143885,0.4959349593495935,0.7176470588235294,0.26319835057116026,27.0,2.1523159079120493,0.7407407407407407,0.3333333333333333
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S1_regime_code_1d,3,1215.0,0.145679012345679,0.7312138728323698,0.3067420765943655,0.47406139379979506,0.15395585294303696,0.782716049382716,0.3148936170212766,0.4180790960451977,-0.432590734602589,121.0,0.5508009251555114,0.4628099173553719,0.32231404958677684
logreg,2,y_good_05,9312,1879,2024-03-03 00:00:00+00:00,2024-09-22 00:00:00+00:00,S1_regime_code_1d,2,386.0,0.13471502590673576,0.7701520036849377,0.2997015470752468,0.4996833041648332,0.16682078734407058,0.7409326424870466,0.2857142857142857,0.6153846153846154,-0.4250284267290344,38.0,0.5326686334337328,0.5,0.42105263157894735
