scope,threshold,n,pos_rate,mean_pnl_R,sum_pnl_R,win_rate,time_rate,mean_pnl_R_not_time,rank_by_mean_pnl,rank_by_sum_pnl
ALL,0.36,1974,0.5010131712259371,1.159820705787425,2289.486073224377,0.547112462006079,0.24924012158054712,1.1945717776214595,17.0,11.0
ALL,0.38,1792,0.5228794642857143,1.254069081823951,2247.29179462852,0.5686383928571429,0.25167410714285715,1.323709416583892,16.0,13.0
ALL,0.4,1595,0.5366771159874608,1.3224921552181108,2109.3749875728868,0.5824451410658307,0.25203761755485893,1.413989162825649,15.0,14.0
ALL,0.42,1430,0.5461538461538461,1.3741785363971866,1965.0753070479768,0.5937062937062937,0.25314685314685315,1.4842011319384718,14.0,16.0
ALL,0.44,1280,0.5609375,1.4299224187449133,1830.3006959934892,0.60703125,0.26015625,1.5620189137495546,13.0,17.0
ALL,0.46,1153,0.5680832610581092,1.464794876990114,1688.9084931696016,0.611448395490026,0.2532523850823938,1.5952551375153867,12.0,19.0
ALL,0.48,1027,0.5871470301850049,1.5466354927077772,1588.3946510108872,0.6270691333982473,0.25121713729308665,1.687807127022181,11.0,20.0
ALL,0.5,912,0.6074561403508771,1.6466780883368273,1501.7704165631865,0.643640350877193,0.24780701754385964,1.805401391190021,10.0,21.0
ALL,0.52,789,0.6210392902408112,1.7312045002065977,1365.9203506630056,0.6577946768060836,0.23954372623574144,1.9031783986888158,9.0,22.0
ALL,0.54,683,0.6427525622254758,1.8528838499521714,1265.519669517333,0.6837481698389458,0.2430453879941435,2.074000472876593,8.0,24.0
ALL,0.56,582,0.6701030927835051,1.9829461665095398,1154.0746689085522,0.7079037800687286,0.23367697594501718,2.2204735120082275,7.0,25.0
ALL,0.58,492,0.6829268292682927,2.031020613932195,999.2621420546401,0.717479674796748,0.23373983739837398,2.271087092274467,6.0,26.0
ALL,0.6,432,0.6875,2.062920620723621,891.1817081526043,0.7199074074074074,0.22685185185185186,2.2920765109791716,5.0,28.0
ALL,0.62,374,0.7085561497326203,2.1567061614524916,806.6081043832319,0.7352941176470589,0.22459893048128343,2.3997348233916953,4.0,29.0
ALL,0.64,309,0.7346278317152104,2.2836824184455775,705.6578672996834,0.7605177993527508,0.22006472491909385,2.5576429812991424,3.0,30.0
ALL,0.66,256,0.734375,2.3025196411601643,589.445028137002,0.7578125,0.2109375,2.5572175561756745,2.0,32.0
ALL,0.68,206,0.7524271844660194,2.363528353609565,486.8868408435703,0.7669902912621359,0.2087378640776699,2.5872511961629003,1.0,33.0
RISK_ON_1,0.0,2436,0.3230706075533662,0.3303128748112824,804.642163040284,0.35385878489326766,0.20402298850574713,0.15799539063517415,31.0,25.0
RISK_ON_1,0.02,2419,0.3253410500206697,0.33983052225407817,822.0500333326152,0.3563455973542786,0.20545680033071517,0.16845001703118306,30.0,24.0
RISK_ON_1,0.04,2379,0.32955023118957544,0.3581390204948058,852.0127297571429,0.3610760823875578,0.2080706179066835,0.18986010766517455,29.0,22.0
RISK_ON_1,0.06,2296,0.3405923344947735,0.4049387425387325,929.7393528689299,0.37325783972125437,0.21515679442508712,0.24260869045475367,28.0,20.0
RISK_ON_1,0.08,2171,0.35743896821741133,0.47580405811737775,1032.970610172827,0.391524643021649,0.2224781206817135,0.32241159429877303,27.0,17.0
RISK_ON_1,0.1,2053,0.3735996103263517,0.5460957774210531,1121.1346310454219,0.40818314661471017,0.22795908426692646,0.4069708302612757,26.0,15.0
