symbol,instrument_type,contract_size,base_unit,quote_unit,anchor_timestamp_utc,implied_price_absolute_over_relative,trade_open,mark_open,trade_relative_error,mark_relative_error,trade_error_limit,mark_error_limit,unit_status
PF_ETHFIUSD,flexible_futures,1,ETHFI,USD,2024-05-10T15:00:00Z,3.732669999999996024525514994,3.7932,3.73008713931,0.0159575028999272317501014990,0.000692439772458990855777085,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ETHUSD,flexible_futures,1,ETH,USD,2023-01-01T00:00:00Z,1194.819999999999997225697593,1194.1,1194.32312673058,0.000602964575831167595425503,0.000416029178619500857242681,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ETHWUSD,flexible_futures,1,ETHW,USD,2023-01-01T00:00:00Z,2.962600000000006685991312690,2.976,2.97037354282,0.0045026881720407641158223488,0.0026170253363532529178707728,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FARTCOINUSD,flexible_futures,1,FARTCOIN,USD,2025-01-20T21:00:00Z,1.958840000000039894542634080,1.9822,1.9617677103,0.0117848854807588061029996569,0.0014923837743829468602330273,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FETUSD,flexible_futures,1,FET,USD,2023-03-23T16:00:00Z,0.3896000000000106031176511798,0.3873200000000001,0.38976201902,0.005886605390918368607328929,0.0004156870399962781944356016,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FILUSD,flexible_futures,1,FIL,USD,2023-01-01T00:00:00Z,3.008300000000008837393506915,3.014,3.01242052243,0.0018911745189088130744834390,0.0013678443628007489488510273,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FLOKIUSD,flexible_futures,1,FLOKI,USD,2024-05-15T18:00:00Z,0.0002130482999430802039135519837,0.0002,0.00021336003,0.065241499715401019567759918,0.0014610518048755246540226691,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FLOWUSD,flexible_futures,1,FLOW,USD,2023-01-01T00:00:00Z,0.6524000000000044834888685769,0.6487,0.65136175018,0.005703715122559709401678090,0.001593968051881414958016682,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_FLRUSD,flexible_futures,1,FLR,USD,2023-01-10T14:00:00Z,0.04142000000007711723052714969,0.044478,0.04142753706,0.0687530914142471057482991661,0.0001819335750509800997773897,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GALAUSD,flexible_futures,1,GALA,USD,2023-01-01T00:00:00Z,0.01665000000000021043355473619,0.01676,0.0166306205,0.0065632458233764657783570292,0.001165290254817036655651916,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GIGAUSD,flexible_futures,1,GIGA,USD,2024-12-13T18:00:00Z,0.06929389999999738389818925289,0.06695,0.06919254926,0.035009708737825002213431709,0.001464763779934531901784318,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GMTUSD,flexible_futures,1,GMT,USD,2023-01-01T00:00:00Z,0.2297100000000009957335304196,0.2272,0.22929690152,0.011047535211271988263778255,0.001801587711227593624093816,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GMXUSD,flexible_futures,1,GMX,USD,2023-03-08T23:00:00Z,68.26999999999999848828383227,68.28,68.21751385804,0.0001464557703573742196275297,0.000769393942869592879236257,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GOATUSD,flexible_futures,1,GOAT,USD,2024-10-24T21:00:00Z,0.673739,0.6852,0.67786890718,0.0167265032107413893753648570,0.0060924865210012537515897219,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GRASSUSD,flexible_futures,1,GRASS,USD,2024-11-14T23:00:00Z,2.606020000000008296320320963,2.5942,2.60541473071,0.004556317940023242741623993,0.000232312070271958104124126,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GRIFFAINUSD,flexible_futures,1,GRIFFAIN,USD,2025-01-22T17:00:00Z,0.5511109999999990895192101720,0.555,0.55152461921,0.0070072072072088477131348252,0.0007499560229847504159429561,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_GRTUSD,flexible_futures,1,GRT,USD,2023-01-01T00:00:00Z,0.0554,0.05541,0.05537463535,0.0001804728388377549178848583,0.000458055386544409994024457,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_HBARUSD,flexible_futures,1,HBAR,USD,2024-06-25T17:00:00Z,0.07920300000001208007762657883,0.07924,0.07908814447,0.0004669358908117102773021349,0.001452247119739261188745636,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_HFTUSD,flexible_futures,1,HFT,USD,2023-07-26T18:00:00Z,0.3290989999999785302732501723,0.3311,0.32916057521,0.0060434913923934452635150338,0.0001870673909905084308526953,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_HYPEUSD,flexible_futures,1,HYPE,USD,2025-01-24T22:00:00Z,23.22679999999999911621803472,23.342,23.21250663592,0.0049353097420958308534815046,0.000615761335222666950446296,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ICPUSD,flexible_futures,1,ICP,USD,2023-01-01T00:00:00Z,3.930999999999996101098596697,3.934,3.92236215908,0.0007625826131174120237425783,0.002202203817411426539617446,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_ICXUSD,flexible_futures,1,ICX,USD,2023-01-01T00:00:00Z,0.1411000000000233110023303532,0.1433,0.14111991484,0.0153524075364737543452173538,0.0001411199829539877128064089,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_IMXUSD,flexible_futures,1,IMX,USD,2023-01-01T00:00:00Z,0.383,0.3827,0.3830189152,0.000783903841128821531225503,0.0000493845062198118825438102,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_INJUSD,flexible_futures,1,INJ,USD,2023-04-05T19:00:00Z,5.523,5.527,5.51765586571,0.0007237199203908087570110367,0.000968551576986095413244819,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_IOTAUSD,flexible_futures,1,IOTA,USD,2024-12-05T16:00:00Z,0.4848610000000000644024416708,0.4828,0.48590478931,0.004268848384424325605720114,0.0021481354639087815282812677,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_IOUSD,flexible_futures,1,IO,USD,2025-01-28T19:00:00Z,2.869170000000003552810782479,2.8892,2.86815068723,0.0069327149383900204863690714,0.000355390243107479050966529,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_IPUSD,flexible_futures,1,IP,USD,2025-03-07T12:00:00Z,4.938620000000004947151155815,4.946,4.92454042542,0.0014921148402739694397177891,0.002859063661520077868650531,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_JASMYUSD,flexible_futures,1,JASMY,USD,2023-04-05T15:00:00Z,0.005123380000180466465105750014,0.005168,0.00512247412,0.0086339008938725880213332016,0.000176844266900164466960746,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_JTOUSD,flexible_futures,1,JTO,USD,2023-12-21T19:00:00Z,2.68938,2.7366,2.68930876223,0.0172549879412409559307169480,0.000026489249208011717578362,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_JUPUSD,flexible_futures,1,JUP,USD,2024-02-01T15:00:00Z,0.6122630000000040952452716889,0.615,0.61285715982,0.0044504065040583817150053839,0.0009694915209449673860356061,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_KAIAUSD,flexible_futures,1,KAIA,USD,2024-11-14T20:00:00Z,0.1264130000000085057910859759,0.126,0.1269411325,0.003277777777845284056237904,0.0041604520898022885443693682,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_KAITOUSD,flexible_futures,1,KAITO,USD,2025-03-11T18:00:00Z,1.399450000000000616397718803,1.4,1.40837157144,0.0003928571428567025730579979,0.0063346716313490029148619017,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_KASUSD,flexible_futures,1,KAS,USD,2024-01-11T16:00:00Z,0.1242499999999819061040564538,0.12494,0.12426614113,0.0055226508725635816867580134,0.0001298916170673392499151647,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_KAVAUSD,flexible_futures,1,KAVA,USD,2023-01-01T00:00:00Z,0.5731000000000025467398765719,0.5701,0.57040963119,0.005262234695671893948213597,0.004716555722226929146386477,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
PF_KSMUSD,flexible_futures,1,KSM,USD,2023-01-01T00:00:00Z,23.10100000000003752753056399,23.09,23.09874486366,0.000476396708533457233891901,0.000097630254515924411965461,0.25,0.10,verified_one_contract_unit_equals_one_base_unit_no_hidden_multiplier
