symbol,rankable_observations,base_gap_allowance_bps_per_hour,stress_gap_allowance_bps_per_hour,allowance_source
PF_MORPHOUSD,9604,2.29834583680555900000,24.96651543393816770000,symbol_type7_rankable_only
PF_MOVEUSD,9023,3.62551491944444700000,10.99429906027777840000,symbol_type7_rankable_only
PF_MOVRUSD,14283,1.67488311666666900000,11.19553042182795780000,symbol_type7_rankable_only
PF_NEARUSD,26297,0.65287300000000200000,1.16247222555555760000,symbol_type7_rankable_only
PF_NEIROUSD,10756,7.96817801120071750000,25.00000000000000000000,symbol_type7_rankable_only
PF_NEOUSD,14787,0.86214808055555300000,1.32436068413793400000,symbol_type7_rankable_only
PF_NMRUSD,13084,2.54264445486111050000,25.00000000000000000000,symbol_type7_rankable_only
PF_NOTUSD,12964,0.91094134791666600000,3.92028287916666510000,symbol_type7_rankable_only
PF_OGNUSD,26297,1.45345130833333400000,4.38770526333333120000,symbol_type7_rankable_only
PF_ONDOUSD,15097,0.76384699166666400000,1.37602181444444120000,symbol_type7_rankable_only
PF_OPUSD,26297,0.67864078333333000000,1.13316126388888560000,symbol_type7_rankable_only
PF_ORDIUSD,16972,0.73656975972222250000,1.35130521513888860000,symbol_type7_rankable_only
PF_PENDLEUSD,13947,0.66481848472222600000,1.19720856027777760000,symbol_type7_rankable_only
PF_PENGUUSD,9024,0.79504443333333650000,1.45229229999999760000,symbol_type7_rankable_only
PF_PEOPLEUSD,13634,0.71992002777778000000,2.29160420798386990000,symbol_type7_rankable_only
PF_PEPEUSD,22830,0.79116068125000150000,1.62062001318548550000,symbol_type7_rankable_only
PF_PNUTUSD,9604,0.82763512430555650000,1.68850624430556000000,symbol_type7_rankable_only
PF_POLUSD,11235,0.50704557499999800000,0.89779034666666260000,symbol_type7_rankable_only
PF_POPCATUSD,13467,1.15353807777777800000,2.39408008361110960000,symbol_type7_rankable_only
PF_PUMPUSD,4079,1.18675236250000300000,2.01127208055555840000,symbol_type7_rankable_only
PF_PYTHUSD,18315,1.09792164166666700000,1.76068723888889080000,symbol_type7_rankable_only
PF_QNTUSD,26297,1.41482036944444000000,19.10761117333333320000,symbol_type7_rankable_only
PF_QTUMUSD,26297,0.93582299444444200000,2.05298927999999680000,symbol_type7_rankable_only
PF_RAYUSD,10394,1.87498660416666800000,8.36593523682949970000,symbol_type7_rankable_only
PF_RENDERUSD,12459,0.72409165972222000000,1.11541601416666720000,symbol_type7_rankable_only
PF_RLCUSD,23850,1.36537995555555750000,3.38832331208333170000,symbol_type7_rankable_only
PF_RSRUSD,11092,15.51594608373015500000,25.00000000000000000000,symbol_type7_rankable_only
PF_RUNEUSD,26297,0.85552699444444600000,1.69711076944444560000,symbol_type7_rankable_only
PF_SAGAUSD,15071,2.07120554861111000000,25.00000000000000000000,symbol_type7_rankable_only
PF_SEIUSD,18200,14.25220546388888800000,25.00000000000000000000,symbol_type7_rankable_only
PF_SHIBUSD,22708,0.51310967777777550000,0.94712520555555590000,symbol_type7_rankable_only
PF_SKLUSD,8094,3.42603691874999700000,25.00000000000000000000,symbol_type7_rankable_only
PF_SNXUSD,26297,0.70089395277777800000,1.04718893666667080000,symbol_type7_rankable_only
PF_SOLUSD,26297,0.62047361944444200000,1.01554450555555680000,symbol_type7_rankable_only
PF_SPELLUSD,16158,1.72729899722222050000,7.57118068763889080000,symbol_type7_rankable_only
PF_SPKUSD,4537,25.00000000000000000000,25.00000000000000000000,symbol_type7_rankable_only
PF_SPXUSD,9048,1.20017064166666800000,3.31244796684742180000,symbol_type7_rankable_only
PF_STGUSD,21339,1.31784220277778200000,2.71987665472222100000,symbol_type7_rankable_only
PF_STORJUSD,26297,0.83139245000000000000,2.14674783777777680000,symbol_type7_rankable_only
PF_STRKUSD,16301,0.75983559722222000000,1.15278043055556000000,symbol_type7_rankable_only
PF_STXUSD,24168,0.84462960069444450000,1.36862403388889110000,symbol_type7_rankable_only
PF_SUIUSD,23356,0.77804789583333750000,1.27738893819444300000,symbol_type7_rankable_only
PF_SUSD,8330,0.74423572291666650000,5.35153990815412440000,symbol_type7_rankable_only
PF_SUSHIUSD,26297,0.49057653055555400000,0.79668451215053880000,symbol_type7_rankable_only
PF_TAOUSD,13253,0.88406739444444800000,1.50418538666666280000,symbol_type7_rankable_only
PF_THETAUSD,26297,0.90399848055555800000,1.74585598888888560000,symbol_type7_rankable_only
PF_TIAUSD,18315,1.08910821111111100000,1.64636133777778080000,symbol_type7_rankable_only
PF_TRBUSD,13415,0.67643993749999900000,1.82087191666666300000,symbol_type7_rankable_only
PF_TRUMPUSD,8330,0.56599445625000100000,1.04574141013888620000,symbol_type7_rankable_only
PF_TRUUSD,14955,1.52304073888888600000,20.72167521499999820000,symbol_type7_rankable_only
PF_TRXUSD,26297,0.53434047777777600000,0.93319442111111000000,symbol_type7_rankable_only
PF_TURBOUSD,13780,1.11114379027778200000,2.17166936777777860000,symbol_type7_rankable_only
PF_UMAUSD,16947,1.10184928472222500000,2.85276615611111060000,symbol_type7_rankable_only
PF_UNIUSD,26297,0.48407747777778000000,0.73418506666666760000,symbol_type7_rankable_only
PF_USUALUSD,8404,2.28122288263888750000,25.00000000000000000000,symbol_type7_rankable_only
PF_VETUSD,10058,0.74935380972222550000,6.71048014562500000000,symbol_type7_rankable_only
PF_VINEUSD,8185,1.47157993055555200000,12.46625838021505200000,symbol_type7_rankable_only
PF_VIRTUALUSD,8279,0.62732985044803000000,1.03154032916666840000,symbol_type7_rankable_only
PF_WIFUSD,17020,0.95722637916666450000,2.49628355888889000000,symbol_type7_rankable_only
PF_WLDUSD,21171,0.88009494444444500000,1.58793463333333700000,symbol_type7_rankable_only
PF_WOOUSD,24016,1.38969630208333500000,2.31121842986111250000,symbol_type7_rankable_only
PF_WUSD,15171,0.75230430555555500000,1.45441292777777900000,symbol_type7_rankable_only
PF_XBTUSD,26297,0.41301788055555200000,0.78993458722222240000,symbol_type7_rankable_only
PF_XLMUSD,26297,0.51079172777777600000,0.81690150222222000000,symbol_type7_rankable_only
PF_XMRUSD,26297,0.72760876388888800000,1.43362166944444320000,symbol_type7_rankable_only
PF_XRPUSD,26297,0.54044093333333600000,0.81232637499999880000,symbol_type7_rankable_only
PF_XTZUSD,26297,0.57728841326165200000,1.08150633444444240000,symbol_type7_rankable_only
PF_YFIUSD,26297,0.72042905000000000000,1.14747524944444560000,symbol_type7_rankable_only
PF_YGGUSD,15124,1.28374540277777700000,10.06350526207437650000,symbol_type7_rankable_only
PF_ZECUSD,26297,1.23048679166666800000,6.24942932000000000000,symbol_type7_rankable_only
PF_ZENUSD,9389,1.07319228611111000000,1.50965953944444040000,symbol_type7_rankable_only
PF_ZEREBROUSD,8233,1.34427600555555400000,5.96899111388888880000,symbol_type7_rankable_only
PF_ZETAUSD,14283,1.07408768750000100000,2.25344151222222040000,symbol_type7_rankable_only
PF_ZKUSD,12409,0.98622304444444600000,2.80823413222221840000,symbol_type7_rankable_only
PF_ZROUSD,13398,1.05560411319444050000,1.97948803180555650000,symbol_type7_rankable_only
PF_ZRXUSD,23850,0.80995270277777750000,1.62078841138888830000,symbol_type7_rankable_only
