symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_PROMPTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PROVEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PTBUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PUFFERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_PUMPUSD,True,True,True,True,campaign_exact_mapped
PF_PYTHUSD,True,True,True,True,campaign_exact_mapped
PF_QNTUSD,True,True,True,True,campaign_exact_mapped
PF_QQQXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_QTUMUSD,True,True,True,True,campaign_exact_mapped
PF_QUICKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_QUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RADUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RAREUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RARIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RATSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RAVEUSD,False,True,True,False,k0_missing_export_noncampaign
PF_RAYUSD,True,True,True,True,campaign_exact_mapped
PF_RDNTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_REEFUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RENDERUSD,True,True,True,True,campaign_exact_mapped
PF_RENUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_REZUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RIFSOLUSD,True,False,False,False,export_only_not_reconciled
PF_RIVERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RLCUSD,True,True,True,True,campaign_exact_mapped
PF_RNDRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ROSEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RPLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_RSRUSD,True,True,True,True,campaign_exact_mapped
PF_RUNEUSD,True,True,True,True,campaign_exact_mapped
PF_SAFEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SAGAUSD,True,True,True,True,campaign_exact_mapped
PF_SANDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SATSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SCRTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SCRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SEIUSD,True,True,True,True,campaign_exact_mapped
PF_SHELLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SHIBUSD,True,True,True,True,campaign_exact_mapped
PF_SKLUSD,True,True,True,True,campaign_exact_mapped
PF_SKYUSD,True,False,False,False,export_only_not_reconciled
PF_SLERFUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SLPUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SNXUSD,True,True,True,True,campaign_exact_mapped
PF_SOLUSD,True,True,True,True,campaign_exact_mapped
PF_SOLVUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_SONICUSD,True,True,True,False,reconciled_and_export_noncampaign
