symbol,partition,row_count,numeric_rate_parsing
PF_APUUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_APUUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_APUUSD,rankable_2023_2025,6384,Decimal
PF_APUUSD,unknown_or_invalid,0,none
PF_ARBUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARBUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ARBUSD,rankable_2023_2025,24338,Decimal
PF_ARBUSD,unknown_or_invalid,0,none
PF_ARCUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARCUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ARCUSD,rankable_2023_2025,8094,Decimal
PF_ARCUSD,unknown_or_invalid,0,none
PF_ARKMUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARKMUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ARKMUSD,rankable_2023_2025,14283,Decimal
PF_ARKMUSD,unknown_or_invalid,0,none
PF_ARKUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARKUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ARKUSD,rankable_2023_2025,8752,Decimal
PF_ARKUSD,unknown_or_invalid,0,none
PF_ARPAUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARPAUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ARPAUSD,rankable_2023_2025,19865,Decimal
PF_ARPAUSD,unknown_or_invalid,0,none
PF_ARUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ARUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ARUSD,rankable_2023_2025,14429,Decimal
PF_ARUSD,unknown_or_invalid,0,none
PF_ASTERUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ASTERUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ASTERUSD,rankable_2023_2025,2328,Decimal
PF_ASTERUSD,unknown_or_invalid,0,none
PF_ASTRUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ASTRUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ASTRUSD,rankable_2023_2025,14620,Decimal
PF_ASTRUSD,unknown_or_invalid,0,none
PF_ATAUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ATAUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_ATAUSD,rankable_2023_2025,567,Decimal
PF_ATAUSD,unknown_or_invalid,0,none
PF_ATHUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_ATHUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ATHUSD,rankable_2023_2025,9887,Decimal
PF_ATHUSD,unknown_or_invalid,0,none
PF_ATOMUSD,pre_rankable_before_2023_excluded,3389,Decimal_schema_only_not_calibration
PF_ATOMUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_ATOMUSD,rankable_2023_2025,26297,Decimal
PF_ATOMUSD,unknown_or_invalid,0,none
PF_AUCTIONUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AUCTIONUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AUCTIONUSD,rankable_2023_2025,12074,Decimal
PF_AUCTIONUSD,unknown_or_invalid,0,none
PF_AUDIOUSD,pre_rankable_before_2023_excluded,2249,Decimal_schema_only_not_calibration
PF_AUDIOUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AUDIOUSD,rankable_2023_2025,24655,Decimal
PF_AUDIOUSD,unknown_or_invalid,0,none
PF_AUDUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AUDUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AUDUSD,rankable_2023_2025,6028,Decimal
PF_AUDUSD,unknown_or_invalid,0,none
PF_AVAAIUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AVAAIUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AVAAIUSD,rankable_2023_2025,333,Decimal
PF_AVAAIUSD,unknown_or_invalid,0,none
PF_AVAUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AVAUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AVAUSD,rankable_2023_2025,2,Decimal
PF_AVAUSD,unknown_or_invalid,0,none
PF_AVAXUSD,pre_rankable_before_2023_excluded,3389,Decimal_schema_only_not_calibration
PF_AVAXUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_AVAXUSD,rankable_2023_2025,26297,Decimal
PF_AVAXUSD,unknown_or_invalid,0,none
PF_AVNTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_AVNTUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_AVNTUSD,rankable_2023_2025,1408,Decimal
PF_AVNTUSD,unknown_or_invalid,0,none
PF_AXLUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
