time,open,high,low,close,volume,source_url,venue_symbol,chunk_start_utc,chunk_end_utc,resolution,historical_backfill,rankable_pre_holdout,contains_protected_period
1767147000000,88523,88611,88511,88611,0.4205,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767147300000,88611,88628,88570,88628,0.5865,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767147600000,88628,88669,88596,88653,1.1102,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767147900000,88653,88653,88556,88600,1.424600000000001,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767148200000,88600,88679,88600,88622,0.5978,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767148500000,88622,88660,88523,88523,2.007600000000001,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767148800000,88523,88537,88473,88528,1.0956,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767149100000,88528,88582,88501,88501,0.6236,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767149400000,88501,88631,88450,88606,1.7602,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
1767149700000,88606,88613,88586,88595,2.72,https://futures.kraken.com/api/charts/v1/trade/PF_XBTUSD/5m?from=1767139200&to=1767225599,PF_XBTUSD,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,5m,True,True,False
