definition_id,cluster,clusters,base_mean_bps,base_median_bps,bootstrap_lower_bps,bootstrap_upper_bps
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,market_6h_cluster_id,2775,-36.866124846406066,-30.628708967102448,-45.264800115803034,-28.36544265899337
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,parent_episode_id,8467,-22.291832574948746,-24.692285595736983,-29.281766982924204,-15.247626588761795
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,market_6h_cluster_id,831,-13.412537434498084,-10.945165724759885,-22.19363976191857,-5.017724187752805
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,parent_episode_id,1203,-7.75669334672476,-8.862878368766523,-16.18179738902467,0.8625065535299048
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,market_6h_cluster_id,817,-5.272908141224316,-3.9487866749625553,-25.954065265345506,16.092958844594552
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,parent_episode_id,1154,-0.06455725516222378,2.141527566143621,-19.604832164013384,19.828246954546735
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,market_6h_cluster_id,2151,-17.232740264755453,-14.664540138224368,-21.868598844638075,-13.08364420947021
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,parent_episode_id,5168,-15.23394572872368,-14.0,-18.039575252921857,-12.414684262356937
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,market_6h_cluster_id,2104,-16.80768524837002,-16.94172697020589,-27.12243657157192,-6.570099865846006
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,parent_episode_id,4493,-16.14262204052786,-17.667508036155898,-23.581356951070806,-8.856476511224574
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,market_6h_cluster_id,3581,-19.387389882627325,-18.97546477956153,-21.541052104095204,-17.202755609331714
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,parent_episode_id,21933,-14.041368674836642,-17.85951370127313,-15.902962248776483,-12.20275268216907
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,market_6h_cluster_id,3483,-25.134269428740087,-22.133210892356523,-31.996941519674362,-18.143953996410215
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,parent_episode_id,15413,-13.919255953469488,-20.06313236575895,-18.89324651284054,-8.99376031014526
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,market_6h_cluster_id,1486,-19.65219505115599,-16.993076750718025,-26.011112286911985,-13.534901982771682
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,parent_episode_id,2532,-14.720346700896373,-14.72106342150935,-20.55934091470966,-8.95883179382407
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,market_6h_cluster_id,1446,-36.25195188545514,-24.594706765757465,-51.373015068354384,-21.237325306440635
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_6h,parent_episode_id,2343,-21.850870333073637,-21.864612158106077,-35.34155419678129,-8.696583905638292
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,market_6h_cluster_id,2540,-10.988214661277443,-13.116824684194658,-13.94498982596792,-7.943996996573146
kda03_v1_robustness_positive_reference_led_catchup_timeout_1h,parent_episode_id,8051,-11.959003847394138,-11.989141363361476,-13.970338996762312,-9.970008216257416
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,market_6h_cluster_id,2489,-9.887929339445792,-10.222556783910994,-18.30336491354787,-1.4573070770391496
kda03_v1_robustness_positive_reference_led_catchup_timeout_6h,parent_episode_id,6733,-7.716718788164513,-8.453688297282312,-13.350166551759996,-2.01333870520071
