definition_id,basis_context,trades,market_days,base_mean_bps,base_median_bps,primary_signed_shock_breadth_mean,robustness_signed_shock_breadth_mean
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,both_negative,1159,535,-10.68647079510479,-20.00291570191147,0.014325187613607872,0.024900079053938706
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,both_positive,10831,963,-14.013260805350768,-16.55455806145499,0.10480926026376142,0.1073945276796865
kda03_v1_primary_positive_basis_impulse_continuation_timeout_1h,mixed_or_missing,11658,949,-14.802620744069937,-18.417025542762797,0.060659128091008374,0.06457821003221434
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,both_negative,813,464,-12.683008642619198,-24.477635667315297,0.013587678192154236,0.02440599745393009
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,both_positive,7016,949,-11.701831867403614,-16.50392120377585,0.10860282945400733,0.11121001259277197
kda03_v1_primary_positive_basis_impulse_continuation_timeout_6h,mixed_or_missing,8001,929,-12.993972366077788,-21.23222680263258,0.06138565139598677,0.06567442501816373
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,both_negative,1247,571,-16.5860250790406,-18.583251489556073,-0.10207232647389086,-0.07562203126408863
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,both_positive,145,125,-22.897377043293428,-14.327128790604814,0.0011393158835847433,0.017777024645072158
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_1h,mixed_or_missing,1506,616,-9.396215595674965,-12.403854699300375,-0.04880101330793848,-0.02886396345482437
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,both_negative,1132,563,-18.27096578163491,-31.766816201554292,-0.10369663325875964,-0.07691780129672803
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,both_positive,129,110,-59.66292687094034,-32.75829253785932,0.003717144893195137,0.019270137342958824
kda03_v1_primary_positive_completed_basis_impulse_rejection_timeout_6h,mixed_or_missing,1368,607,-15.866293014061462,-9.243333825202804,-0.048001369810800734,-0.028345354310128048
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,both_negative,773,416,-8.84328890210212,-10.67718890181023,0.005105011572343822,0.012468124608610392
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,both_positive,2674,757,-9.400062515077591,-10.779535763444802,0.057329902643937884,0.060259303841472794
kda03_v1_primary_positive_reference_led_catchup_timeout_1h,mixed_or_missing,6371,790,-14.182834332113156,-14.0,0.030816972559126268,0.03480061804295675
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,both_negative,606,370,-15.54112722736352,-8.090840078689308,0.006322967794799367,0.013593483383366115
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,both_positive,2170,737,-6.29173868066701,-10.873119840931633,0.05686692896357025,0.05958926446169502
kda03_v1_primary_positive_reference_led_catchup_timeout_6h,mixed_or_missing,4979,782,-10.51157945046981,-9.89936560773773,0.03117344795032611,0.03546282810125502
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,both_negative,4994,854,-18.9285242089081,-20.117923960159423,-0.1398274224583672,-0.11502620341517839
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,both_positive,422,286,-33.75771792004145,-23.822368267183855,-0.022111826855913046,-0.007366388485273052
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_1h,mixed_or_missing,5044,820,-14.69178088989348,-18.876334271161078,-0.0713753372927271,-0.05198119036160592
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,both_negative,4035,842,-30.449755860891653,-29.06123332674303,-0.13902584828225956,-0.11433885974830241
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,both_positive,350,253,-9.583306893600305,-45.9801050777857,-0.021866684138747837,-0.006714973673118412
kda03_v1_robustness_negative_basis_impulse_continuation_timeout_6h,mixed_or_missing,4082,802,-15.317497329895428,-18.482473930456088,-0.07058565767507495,-0.051295712180138904
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,both_negative,95,80,4.714899181440274,7.731049666886548,0.0026100808223237177,0.015418748707367801
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,both_positive,497,305,-0.5354875594842655,-4.974729241877128,0.1342403206310007,0.14183863175168054
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_1h,mixed_or_missing,611,364,-15.569689363802016,-13.443021053802116,0.052135493926899874,0.060512416528397985
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,both_negative,90,78,47.87870221630598,-13.60673273556755,0.006029530404020796,0.019112982562624073
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,both_positive,478,302,6.283227245237501,12.915831547160707,0.13283276796797303,0.14007802571382566
kda03_v1_robustness_negative_completed_basis_impulse_rejection_timeout_6h,mixed_or_missing,586,357,-12.605742141891247,-5.5679939692148,0.05131497374140278,0.05960344131825258
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,both_negative,1445,578,-17.071843269769445,-16.150075252633776,-0.06603994788173728,-0.045017205609422385
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,both_positive,426,271,-15.67252574050672,-13.346983281699464,-0.008077137020782627,0.0014478863487400676
kda03_v1_robustness_negative_reference_led_catchup_timeout_1h,mixed_or_missing,3297,681,-14.371768891650373,-14.0,-0.02791521942983058,-0.014706331473144521
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,both_negative,1301,567,-20.668277794395184,-17.38935915040084,-0.0660059395190913,-0.044958300350372356
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,both_positive,366,253,2.4091006266079282,-14.97880296300923,-0.008922545556046657,0.0007416113482582294
kda03_v1_robustness_negative_reference_led_catchup_timeout_6h,mixed_or_missing,2826,671,-16.461819620283812,-17.819081935066414,-0.028620514250316937,-0.01508985226362204
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,both_negative,1060,512,-13.801468144273224,-21.48081253754085,0.017073120723342456,0.03153498687274557
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,both_positive,10089,952,-13.595624929084448,-16.392916965781033,0.10671459637064017,0.11437166881998385
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_1h,mixed_or_missing,10784,942,-14.481966153813929,-19.098471563291795,0.06036743413969376,0.0695523881648028
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,both_negative,781,449,-22.604884688665553,-26.74478566701709,0.016885112734252115,0.031174648823732935
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,both_positive,6904,943,-12.617607102469862,-17.566606371181447,0.1088917668415026,0.11623888037875985
kda03_v1_robustness_positive_basis_impulse_continuation_timeout_6h,mixed_or_missing,7728,926,-14.204337167899265,-22.92195262975848,0.0606372683417323,0.06973827831420581
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,both_negative,1100,510,-18.47629186742786,-20.692321728655195,-0.10521117120109695,-0.08104380537633424
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,both_positive,138,121,-27.125810924032034,-12.038153789258754,-0.0026588832877738515,0.015304235790352661
kda03_v1_robustness_positive_completed_basis_impulse_rejection_timeout_1h,mixed_or_missing,1294,569,-10.204509184685126,-10.306644931397534,-0.04798029127034415,-0.028916589374128582
