branch_id,attempt,parent_direction,trade_direction,year,symbol,event_count
primary_positive_completed_failure,primary,1,-1,2025,PF_AVAXUSD,279
primary_positive_completed_failure,primary,1,-1,2025,PF_BCHUSD,89
primary_positive_completed_failure,primary,1,-1,2025,PF_BNBUSD,266
primary_positive_completed_failure,primary,1,-1,2025,PF_BONKUSD,203
primary_positive_completed_failure,primary,1,-1,2025,PF_BRETTUSD,57
primary_positive_completed_failure,primary,1,-1,2025,PF_CRVUSD,442
primary_positive_completed_failure,primary,1,-1,2025,PF_DASHUSD,12
primary_positive_completed_failure,primary,1,-1,2025,PF_DOGEUSD,213
primary_positive_completed_failure,primary,1,-1,2025,PF_DOGUSD,14
primary_positive_completed_failure,primary,1,-1,2025,PF_DOTUSD,231
primary_positive_completed_failure,primary,1,-1,2025,PF_DYDXUSD,131
primary_positive_completed_failure,primary,1,-1,2025,PF_ENAUSD,165
primary_positive_completed_failure,primary,1,-1,2025,PF_ETHUSD,65
primary_positive_completed_failure,primary,1,-1,2025,PF_FARTCOINUSD,127
primary_positive_completed_failure,primary,1,-1,2025,PF_FETUSD,18
primary_positive_completed_failure,primary,1,-1,2025,PF_FILUSD,188
primary_positive_completed_failure,primary,1,-1,2025,PF_FLOKIUSD,85
primary_positive_completed_failure,primary,1,-1,2025,PF_GALAUSD,155
primary_positive_completed_failure,primary,1,-1,2025,PF_GOATUSD,180
primary_positive_completed_failure,primary,1,-1,2025,PF_GRASSUSD,9
primary_positive_completed_failure,primary,1,-1,2025,PF_GRIFFAINUSD,2
primary_positive_completed_failure,primary,1,-1,2025,PF_HBARUSD,237
primary_positive_completed_failure,primary,1,-1,2025,PF_HYPEUSD,95
primary_positive_completed_failure,primary,1,-1,2025,PF_ICPUSD,181
primary_positive_completed_failure,primary,1,-1,2025,PF_INJUSD,198
primary_positive_completed_failure,primary,1,-1,2025,PF_JASMYUSD,156
primary_positive_completed_failure,primary,1,-1,2025,PF_JUPUSD,42
primary_positive_completed_failure,primary,1,-1,2025,PF_KASUSD,170
primary_positive_completed_failure,primary,1,-1,2025,PF_LDOUSD,239
primary_positive_completed_failure,primary,1,-1,2025,PF_LINKUSD,266
primary_positive_completed_failure,primary,1,-1,2025,PF_LPTUSD,1
primary_positive_completed_failure,primary,1,-1,2025,PF_LTCUSD,217
primary_positive_completed_failure,primary,1,-1,2025,PF_MANAUSD,167
primary_positive_completed_failure,primary,1,-1,2025,PF_MEWUSD,29
primary_positive_completed_failure,primary,1,-1,2025,PF_MOODENGUSD,133
primary_positive_completed_failure,primary,1,-1,2025,PF_NEARUSD,391
primary_positive_completed_failure,primary,1,-1,2025,PF_NEIROUSD,7
primary_positive_completed_failure,primary,1,-1,2025,PF_ONDOUSD,168
primary_positive_completed_failure,primary,1,-1,2025,PF_OPUSD,191
primary_positive_completed_failure,primary,1,-1,2025,PF_ORDIUSD,29
primary_positive_completed_failure,primary,1,-1,2025,PF_PENGUUSD,82
primary_positive_completed_failure,primary,1,-1,2025,PF_PEPEUSD,235
primary_positive_completed_failure,primary,1,-1,2025,PF_PNUTUSD,53
primary_positive_completed_failure,primary,1,-1,2025,PF_POLUSD,47
primary_positive_completed_failure,primary,1,-1,2025,PF_POPCATUSD,136
primary_positive_completed_failure,primary,1,-1,2025,PF_PUMPUSD,10
primary_positive_completed_failure,primary,1,-1,2025,PF_PYTHUSD,98
primary_positive_completed_failure,primary,1,-1,2025,PF_RAYUSD,79
primary_positive_completed_failure,primary,1,-1,2025,PF_RENDERUSD,164
primary_positive_completed_failure,primary,1,-1,2025,PF_RUNEUSD,196
primary_positive_completed_failure,primary,1,-1,2025,PF_SEIUSD,89
primary_positive_completed_failure,primary,1,-1,2025,PF_SHIBUSD,152
primary_positive_completed_failure,primary,1,-1,2025,PF_SNXUSD,15
primary_positive_completed_failure,primary,1,-1,2025,PF_SOLUSD,202
primary_positive_completed_failure,primary,1,-1,2025,PF_SPXUSD,80
primary_positive_completed_failure,primary,1,-1,2025,PF_STRKUSD,13
primary_positive_completed_failure,primary,1,-1,2025,PF_STXUSD,139
primary_positive_completed_failure,primary,1,-1,2025,PF_SUIUSD,296
primary_positive_completed_failure,primary,1,-1,2025,PF_SUSHIUSD,76
primary_positive_completed_failure,primary,1,-1,2025,PF_TAOUSD,231
primary_positive_completed_failure,primary,1,-1,2025,PF_THETAUSD,5
primary_positive_completed_failure,primary,1,-1,2025,PF_TIAUSD,200
primary_positive_completed_failure,primary,1,-1,2025,PF_TRUMPUSD,129
primary_positive_completed_failure,primary,1,-1,2025,PF_TRXUSD,178
primary_positive_completed_failure,primary,1,-1,2025,PF_TURBOUSD,96
primary_positive_completed_failure,primary,1,-1,2025,PF_UNIUSD,315
primary_positive_completed_failure,primary,1,-1,2025,PF_VETUSD,4
primary_positive_completed_failure,primary,1,-1,2025,PF_VIRTUALUSD,100
primary_positive_completed_failure,primary,1,-1,2025,PF_WIFUSD,249
primary_positive_completed_failure,primary,1,-1,2025,PF_WLDUSD,253
primary_positive_completed_failure,primary,1,-1,2025,PF_WUSD,3
primary_positive_completed_failure,primary,1,-1,2025,PF_XBTUSD,110
primary_positive_completed_failure,primary,1,-1,2025,PF_XLMUSD,237
primary_positive_completed_failure,primary,1,-1,2025,PF_XMRUSD,228
primary_positive_completed_failure,primary,1,-1,2025,PF_XRPUSD,128
primary_positive_completed_failure,primary,1,-1,2025,PF_XTZUSD,50
primary_positive_completed_failure,primary,1,-1,2025,PF_ZECUSD,94
primary_positive_completed_failure,primary,1,-1,2025,PF_ZENUSD,1
primary_positive_efficient_continuation,primary,1,1,2023,PF_AAVEUSD,14
primary_positive_efficient_continuation,primary,1,1,2023,PF_ADAUSD,70
primary_positive_efficient_continuation,primary,1,1,2023,PF_ATOMUSD,84
primary_positive_efficient_continuation,primary,1,1,2023,PF_AVAXUSD,95
primary_positive_efficient_continuation,primary,1,1,2023,PF_AXSUSD,3
primary_positive_efficient_continuation,primary,1,1,2023,PF_BCHUSD,58
primary_positive_efficient_continuation,primary,1,1,2023,PF_CRVUSD,89
primary_positive_efficient_continuation,primary,1,1,2023,PF_DOGEUSD,92
primary_positive_efficient_continuation,primary,1,1,2023,PF_DOTUSD,37
primary_positive_efficient_continuation,primary,1,1,2023,PF_ETHUSD,48
primary_positive_efficient_continuation,primary,1,1,2023,PF_FILUSD,7
primary_positive_efficient_continuation,primary,1,1,2023,PF_LINKUSD,45
primary_positive_efficient_continuation,primary,1,1,2023,PF_LTCUSD,68
primary_positive_efficient_continuation,primary,1,1,2023,PF_SOLUSD,56
primary_positive_efficient_continuation,primary,1,1,2023,PF_UNIUSD,14
primary_positive_efficient_continuation,primary,1,1,2023,PF_XBTUSD,76
primary_positive_efficient_continuation,primary,1,1,2023,PF_XRPUSD,75
primary_positive_efficient_continuation,primary,1,1,2024,PF_1INCHUSD,16
primary_positive_efficient_continuation,primary,1,1,2024,PF_AAVEUSD,79
primary_positive_efficient_continuation,primary,1,1,2024,PF_ADAUSD,25
primary_positive_efficient_continuation,primary,1,1,2024,PF_ALGOUSD,4
primary_positive_efficient_continuation,primary,1,1,2024,PF_APEUSD,19
primary_positive_efficient_continuation,primary,1,1,2024,PF_APTUSD,75
primary_positive_efficient_continuation,primary,1,1,2024,PF_ARBUSD,61
primary_positive_efficient_continuation,primary,1,1,2024,PF_ATOMUSD,54
primary_positive_efficient_continuation,primary,1,1,2024,PF_AVAXUSD,44
primary_positive_efficient_continuation,primary,1,1,2024,PF_BCHUSD,62
primary_positive_efficient_continuation,primary,1,1,2024,PF_BEAMUSD,18
primary_positive_efficient_continuation,primary,1,1,2024,PF_BNBUSD,48
primary_positive_efficient_continuation,primary,1,1,2024,PF_BONKUSD,41
primary_positive_efficient_continuation,primary,1,1,2024,PF_CRVUSD,108
primary_positive_efficient_continuation,primary,1,1,2024,PF_DASHUSD,12
primary_positive_efficient_continuation,primary,1,1,2024,PF_DOGEUSD,57
primary_positive_efficient_continuation,primary,1,1,2024,PF_DOTUSD,43
primary_positive_efficient_continuation,primary,1,1,2024,PF_ENSUSD,55
primary_positive_efficient_continuation,primary,1,1,2024,PF_ETHUSD,29
primary_positive_efficient_continuation,primary,1,1,2024,PF_FETUSD,1
primary_positive_efficient_continuation,primary,1,1,2024,PF_FILUSD,35
primary_positive_efficient_continuation,primary,1,1,2024,PF_GALAUSD,13
primary_positive_efficient_continuation,primary,1,1,2024,PF_ICPUSD,88
primary_positive_efficient_continuation,primary,1,1,2024,PF_ICXUSD,3
primary_positive_efficient_continuation,primary,1,1,2024,PF_IMXUSD,39
primary_positive_efficient_continuation,primary,1,1,2024,PF_INJUSD,38
primary_positive_efficient_continuation,primary,1,1,2024,PF_JUPUSD,28
primary_positive_efficient_continuation,primary,1,1,2024,PF_KASUSD,33
primary_positive_efficient_continuation,primary,1,1,2024,PF_LDOUSD,116
primary_positive_efficient_continuation,primary,1,1,2024,PF_LINKUSD,54
primary_positive_efficient_continuation,primary,1,1,2024,PF_LTCUSD,88
primary_positive_efficient_continuation,primary,1,1,2024,PF_NEARUSD,64
primary_positive_efficient_continuation,primary,1,1,2024,PF_ONDOUSD,14
primary_positive_efficient_continuation,primary,1,1,2024,PF_OPUSD,36
primary_positive_efficient_continuation,primary,1,1,2024,PF_ORDIUSD,112
primary_positive_efficient_continuation,primary,1,1,2024,PF_PEPEUSD,98
primary_positive_efficient_continuation,primary,1,1,2024,PF_PYTHUSD,6
primary_positive_efficient_continuation,primary,1,1,2024,PF_RUNEUSD,124
primary_positive_efficient_continuation,primary,1,1,2024,PF_SEIUSD,36
primary_positive_efficient_continuation,primary,1,1,2024,PF_SHIBUSD,34
primary_positive_efficient_continuation,primary,1,1,2024,PF_SNXUSD,78
primary_positive_efficient_continuation,primary,1,1,2024,PF_SOLUSD,73
primary_positive_efficient_continuation,primary,1,1,2024,PF_STRKUSD,30
primary_positive_efficient_continuation,primary,1,1,2024,PF_STXUSD,35
primary_positive_efficient_continuation,primary,1,1,2024,PF_SUIUSD,43
primary_positive_efficient_continuation,primary,1,1,2024,PF_THETAUSD,4
primary_positive_efficient_continuation,primary,1,1,2024,PF_TIAUSD,23
primary_positive_efficient_continuation,primary,1,1,2024,PF_TRXUSD,14
primary_positive_efficient_continuation,primary,1,1,2024,PF_UNIUSD,70
primary_positive_efficient_continuation,primary,1,1,2024,PF_WIFUSD,60
primary_positive_efficient_continuation,primary,1,1,2024,PF_WLDUSD,37
primary_positive_efficient_continuation,primary,1,1,2024,PF_WUSD,4
primary_positive_efficient_continuation,primary,1,1,2024,PF_XBTUSD,131
primary_positive_efficient_continuation,primary,1,1,2024,PF_XLMUSD,36
primary_positive_efficient_continuation,primary,1,1,2024,PF_XMRUSD,58
primary_positive_efficient_continuation,primary,1,1,2024,PF_XRPUSD,69
primary_positive_efficient_continuation,primary,1,1,2024,PF_ZECUSD,37
primary_positive_efficient_continuation,primary,1,1,2025,PF_AAVEUSD,89
primary_positive_efficient_continuation,primary,1,1,2025,PF_ADAUSD,94
primary_positive_efficient_continuation,primary,1,1,2025,PF_AIXBTUSD,2
primary_positive_efficient_continuation,primary,1,1,2025,PF_ALCHUSD,7
primary_positive_efficient_continuation,primary,1,1,2025,PF_ALGOUSD,146
primary_positive_efficient_continuation,primary,1,1,2025,PF_APEUSD,41
primary_positive_efficient_continuation,primary,1,1,2025,PF_APTUSD,46
primary_positive_efficient_continuation,primary,1,1,2025,PF_ARBUSD,72
primary_positive_efficient_continuation,primary,1,1,2025,PF_ATOMUSD,50
primary_positive_efficient_continuation,primary,1,1,2025,PF_AVAXUSD,113
primary_positive_efficient_continuation,primary,1,1,2025,PF_BCHUSD,59
primary_positive_efficient_continuation,primary,1,1,2025,PF_BNBUSD,121
primary_positive_efficient_continuation,primary,1,1,2025,PF_BONKUSD,79
primary_positive_efficient_continuation,primary,1,1,2025,PF_BRETTUSD,37
primary_positive_efficient_continuation,primary,1,1,2025,PF_CRVUSD,105
primary_positive_efficient_continuation,primary,1,1,2025,PF_DASHUSD,1
primary_positive_efficient_continuation,primary,1,1,2025,PF_DOGEUSD,64
primary_positive_efficient_continuation,primary,1,1,2025,PF_DOGUSD,5
primary_positive_efficient_continuation,primary,1,1,2025,PF_DOTUSD,84
primary_positive_efficient_continuation,primary,1,1,2025,PF_DYDXUSD,65
primary_positive_efficient_continuation,primary,1,1,2025,PF_ENAUSD,49
primary_positive_efficient_continuation,primary,1,1,2025,PF_ETHUSD,22
primary_positive_efficient_continuation,primary,1,1,2025,PF_FARTCOINUSD,42
primary_positive_efficient_continuation,primary,1,1,2025,PF_FETUSD,14
primary_positive_efficient_continuation,primary,1,1,2025,PF_FILUSD,86
primary_positive_efficient_continuation,primary,1,1,2025,PF_FLOKIUSD,60
primary_positive_efficient_continuation,primary,1,1,2025,PF_GALAUSD,95
primary_positive_efficient_continuation,primary,1,1,2025,PF_GOATUSD,92
primary_positive_efficient_continuation,primary,1,1,2025,PF_GRASSUSD,10
primary_positive_efficient_continuation,primary,1,1,2025,PF_GRIFFAINUSD,15
primary_positive_efficient_continuation,primary,1,1,2025,PF_HBARUSD,101
primary_positive_efficient_continuation,primary,1,1,2025,PF_HYPEUSD,19
primary_positive_efficient_continuation,primary,1,1,2025,PF_ICPUSD,77
primary_positive_efficient_continuation,primary,1,1,2025,PF_INJUSD,63
primary_positive_efficient_continuation,primary,1,1,2025,PF_JASMYUSD,74
primary_positive_efficient_continuation,primary,1,1,2025,PF_JUPUSD,20
primary_positive_efficient_continuation,primary,1,1,2025,PF_KASUSD,74
primary_positive_efficient_continuation,primary,1,1,2025,PF_LDOUSD,137
primary_positive_efficient_continuation,primary,1,1,2025,PF_LINKUSD,101
primary_positive_efficient_continuation,primary,1,1,2025,PF_LTCUSD,67
primary_positive_efficient_continuation,primary,1,1,2025,PF_MANAUSD,105
primary_positive_efficient_continuation,primary,1,1,2025,PF_MELANIAUSD,1
primary_positive_efficient_continuation,primary,1,1,2025,PF_MEWUSD,23
primary_positive_efficient_continuation,primary,1,1,2025,PF_MOODENGUSD,47
primary_positive_efficient_continuation,primary,1,1,2025,PF_NEARUSD,149
primary_positive_efficient_continuation,primary,1,1,2025,PF_NEIROUSD,8
primary_positive_efficient_continuation,primary,1,1,2025,PF_ONDOUSD,51
primary_positive_efficient_continuation,primary,1,1,2025,PF_OPUSD,111
primary_positive_efficient_continuation,primary,1,1,2025,PF_ORDIUSD,19
primary_positive_efficient_continuation,primary,1,1,2025,PF_PENGUUSD,29
primary_positive_efficient_continuation,primary,1,1,2025,PF_PEPEUSD,75
primary_positive_efficient_continuation,primary,1,1,2025,PF_PNUTUSD,20
primary_positive_efficient_continuation,primary,1,1,2025,PF_POLUSD,43
primary_positive_efficient_continuation,primary,1,1,2025,PF_POPCATUSD,28
primary_positive_efficient_continuation,primary,1,1,2025,PF_PUMPUSD,9
primary_positive_efficient_continuation,primary,1,1,2025,PF_PYTHUSD,83
primary_positive_efficient_continuation,primary,1,1,2025,PF_RAYUSD,68
primary_positive_efficient_continuation,primary,1,1,2025,PF_RENDERUSD,108
primary_positive_efficient_continuation,primary,1,1,2025,PF_RUNEUSD,170
