feature,slice,state,n_bin0,n_bin9,mean_pnl_R_bin0,mean_pnl_R_bin9,delta_mean_pnl_R,time_rate_bin0,time_rate_bin9,delta_time_rate,mean_pnl_R_not_time_bin0,mean_pnl_R_not_time_bin9,delta_mean_pnl_R_not_time,spearman_pnl_R,spearman_time_rate,rank_abs_delta_pnl,rank_pnl_minus_time
asset_macd_hist_4h,S1_regime_code_1d,0,63,126,-0.5314552767559666,0.7176327449828582,1.249088021738825,0.015873015873015872,0.24603174603174602,0.23015873015873015,-0.5458487295225696,0.48585871784993134,1.031707447372501,0.6363636363636362,0.8181818181818182,1.249088021738825,1.1340086566594598
asset_rsi_4h,S5_btcRisk_x_regimeUp,0,116,57,-0.4383353650461353,0.7976579933361334,1.2359933583822686,0.15517241379310345,0.17543859649122806,0.020266182698124607,-0.6700455930413818,0.7803239729150144,1.4503695659563962,0.7575757575757575,0.2606060606060606,1.2359933583822686,1.2258602670332064
asset_rsi_4h,S3_funding_x_oi,6,329,130,-0.45471886849932097,0.778972188862217,1.233691057361538,0.13069908814589665,0.23076923076923078,0.10007014262333414,-0.7058387560888331,0.6701923797782979,1.376031135867131,0.8909090909090909,0.5757575757575757,1.233691057361538,1.183655986049871
asset_rsi_4h,risk_on,1,259,475,-0.40810034715449894,0.8224461816631555,1.2305465288176545,0.1776061776061776,0.23157894736842105,0.05397276976224344,-0.6828840784624769,0.7396858602878519,1.4225699387503288,0.9878787878787878,0.3696969696969697,1.2305465288176545,1.2035601439365327
asset_rsi_4h,S5_btcRisk_x_regimeUp,5,259,475,-0.40810034715449894,0.8224461816631555,1.2305465288176545,0.1776061776061776,0.23157894736842105,0.05397276976224344,-0.6828840784624769,0.7396858602878519,1.4225699387503288,0.9878787878787878,0.3696969696969697,1.2305465288176545,1.2035601439365327
asset_vol_1h,S5_btcRisk_x_regimeUp,0,63,122,-1.3078296957240545,-0.07777419682697005,1.2300554988970844,0.07936507936507936,0.2540983606557377,0.17473328129065835,-1.5280057560858675,-0.2959073845198022,1.2320983715660654,0.7500000000000002,0.9642857142857145,1.2300554988970844,1.1426888582517551
rs_pct,risk_on,0,733,906,-0.696863727672633,0.5248859922749192,1.2217497199475522,0.10231923601637108,0.22185430463576158,0.1195350686193905,-0.8802101676286048,0.4539329796793856,1.3341431473079903,0.9757575757575757,0.9272727272727272,1.2217497199475522,1.161982185637857
eth_oi_z_7d,S3_funding_x_oi,3,77,84,-0.5820725922894625,0.6387428512143009,1.2208154435037635,0.14285714285714285,0.13095238095238096,-0.01190476190476189,-0.8054701834992626,0.5352649969435567,1.3407351804428194,0.6121212121212121,0.17575757575757575,1.2208154435037635,1.2267678244561444
btc_trend_slope,S1_regime_code_1d,0,85,187,-0.5076918779557237,0.7126308112996,1.2203226892553238,0.12941176470588237,0.18716577540106952,0.05775401069518715,-0.6400768270052843,0.5171817703314728,1.157258597336757,0.8214285714285715,0.8928571428571429,1.2203226892553238,1.1914456839077303
asset_vol_4h,S1_regime_code_1d,0,97,96,1.0920166745656152,-0.125185596709079,-1.2172022712746942,0.09278350515463918,0.20833333333333334,0.11554982817869416,1.05277474225078,-0.22074601861418236,-1.2735207608649624,-0.9272727272727272,0.1515151515151515,1.2172022712746942,-1.2749771853640413
