feature,scope,n_months,mean_delta,std_delta,frac_pos
eth_macd_hist_4h,ALL,20,-0.14469780504179702,1.2933501638935965,0.27586206896551724
funding_rate,ALL,26,-0.1529424630342787,0.8428321731839503,0.22857142857142856
eth_macd_signal_4h,ALL,5,-0.15401230415354888,0.8385014010812577,0.09375
vol_prob_low_1d,ALL,23,-0.2037841521634269,1.3603043101438899,0.29411764705882354
don_dist_atr,ALL,35,-0.2640762860615866,0.9301270423973618,0.4
funding_z_7d,ALL,29,-0.35484172088749816,0.7529104515135228,0.2857142857142857
eth_trend_slope,ALL,4,-0.5122677187245135,1.3614692323793942,0.07692307692307693
eth_vol_regime_level,ALL,0,,,0.0
asset_rsi_4h,RISK_ON_1,19,1.1552359238505694,0.8920782410501527,0.8421052631578947
rs_pct,RISK_ON_1,16,0.8862193212193765,0.9343190906611674,0.7
eth_macd_line_4h,RISK_ON_1,1,0.7127975642115186,,0.1
eth_oi_z_7d,RISK_ON_1,4,0.6239623475660099,0.6912630938055117,0.16666666666666666
btc_funding_rate,RISK_ON_1,1,0.5547156513453592,,0.07692307692307693
asset_macd_hist_4h,RISK_ON_1,18,0.548634942928243,0.8247675288877796,0.6190476190476191
rsi_1h,RISK_ON_1,19,0.5194414612765236,1.0439287103224655,0.7142857142857143
markov_prob_up_4h,RISK_ON_1,1,0.5039104459445078,,0.07692307692307693
asset_rsi_15m,RISK_ON_1,19,0.4710711177509566,1.067880350390801,0.6363636363636364
adx_1h,RISK_ON_1,17,0.4658809805378005,1.136988982422674,0.55
asset_macd_signal_1h,RISK_ON_1,19,0.4621166138639604,0.6857006003011259,0.6190476190476191
asset_macd_signal_4h,RISK_ON_1,20,0.393047324036176,0.6750286058602052,0.5909090909090909
asset_macd_line_4h,RISK_ON_1,20,0.3765486338799945,0.6505710373370296,0.5909090909090909
atr_1h,RISK_ON_1,20,0.337385566098848,0.6364118214293275,0.6190476190476191
atr_at_entry,RISK_ON_1,20,0.32901016418030926,0.613874824681465,0.6190476190476191
asset_macd_line_1h,RISK_ON_1,18,0.29226244615522323,0.8184743549695219,0.5238095238095238
asset_macd_slope_4h,RISK_ON_1,20,0.2636294432965244,0.7986739865192047,0.6190476190476191
funding_rollsum_3d,RISK_ON_1,10,0.2581736963710529,1.0826090017775372,0.2
funding_rate,RISK_ON_1,11,0.22269370876666789,0.9749019008769786,0.42105263157894735
don_break_level,RISK_ON_1,20,0.22144583601949872,0.6368013757048709,0.5454545454545454
eth_macd_signal_4h,RISK_ON_1,1,0.20548403132858908,,0.09090909090909091
asset_macd_slope_1h,RISK_ON_1,18,0.1698953588795144,0.8451287063968108,0.5238095238095238
asset_macd_hist_1h,RISK_ON_1,20,0.13959216716640968,0.9880401809434316,0.5238095238095238
gap_from_1d_ma,RISK_ON_1,20,0.09191880391366054,1.2035436945141667,0.4
rv_3d,RISK_ON_1,15,-0.014565167713510114,1.0039391657167915,0.45
asset_vol_4h,RISK_ON_1,14,-0.029841183775469734,1.067483529161933,0.4
prior_1d_ret,RISK_ON_1,15,-0.03395985002899747,1.4354504039177138,0.3
funding_z_7d,RISK_ON_1,12,-0.046948847316036935,0.9558762199890981,0.3157894736842105
asset_vol_1h,RISK_ON_1,17,-0.05636286366675061,0.8912659501807711,0.5238095238095238
consolidation_range_atr,RISK_ON_1,19,-0.07170278119654903,0.9095807687583175,0.4090909090909091
prebreak_congestion,RISK_ON_1,15,-0.0723557141663238,1.0021725993432686,0.4
days_since_prev_break,RISK_ON_1,19,-0.11843171657991229,0.8742066121213026,0.5
eth_macd_hist_slope_1h,RISK_ON_1,11,-0.12856615012768147,1.5200502866447259,0.23529411764705882
atr_pct,RISK_ON_1,16,-0.14706873699421635,1.1753859875620014,0.5
btc_oi_z_7d,RISK_ON_1,10,-0.15065826676092114,1.2131049491687331,0.15789473684210525
